Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-3.015136e+00,0.000000e+00,0
1.000142e-02,1.000121e-04,4.886512e+02,-1.374123e-05,0
2.000285e-02,2.000411e-04,9.769958e+02,-2.888811e-05,0
3.000124e-02,3.000465e-04,1.465028e+03,-4.491975e-05,0
4.000266e-02,4.000822e-04,1.952975e+03,-6.180812e-05,0
5.000106e-02,5.000876e-04,2.440490e+03,-7.976867e-05,0
6.000248e-02,6.001233e-04,2.927756e+03,-9.942839e-05,1
7.000088e-02,7.001287e-04,3.412447e+03,-1.247845e-04,1
8.000230e-02,8.001644e-04,3.461497e+03,5.155375e-04,1
9.000070e-02,9.001698e-04,3.678492e+03,9.683076e-04,3
1.000021e-01,1.000206e-03,3.909542e+03,1.353035e-03,3
1.100005e-01,1.100211e-03,4.061668e+03,1.625386e-03,3
1.200019e-01,1.200247e-03,4.128693e+03,1.358999e-03,3
1.300003e-01,1.300252e-03,4.201606e+03,8.089291e-04,3
1.400018e-01,1.400288e-03,4.261712e+03,1.336024e-04,3
1.500002e-01,1.500293e-03,4.313767e+03,-6.797356e-04,3
1.600016e-01,1.600329e-03,4.369749e+03,-1.514009e-03,3
1.700030e-01,1.700365e-03,4.426125e+03,-2.332498e-03,3
1.800014e-01,1.800370e-03,4.477683e+03,-3.164310e-03,3
1.900028e-01,1.900406e-03,4.523249e+03,-4.013878e-03,3
2.000012e-01,2.000411e-03,4.564076e+03,-4.863817e-03,3
2.100026e-01,2.100447e-03,4.602045e+03,-5.697118e-03,3
2.200010e-01,2.200453e-03,4.638910e+03,-6.500772e-03,3
2.300024e-01,2.300488e-03,4.675382e+03,-7.272602e-03,3
2.400008e-01,2.400493e-03,4.710312e+03,-8.025425e-03,3
2.500023e-01,2.500529e-03,4.737168e+03,-8.808437e-03,5
2.600007e-01,2.600534e-03,4.702563e+03,-9.962917e-03,5
2.700021e-01,2.700570e-03,4.251104e+03,-1.362096e-02,4
2.800005e-01,2.800576e-03,3.744797e+03,-1.756987e-02,5
2.900019e-01,2.900611e-03,3.657307e+03,-1.885433e-02,5
3.000003e-01,3.000617e-03,3.612718e+03,-1.978925e-02,7
3.100017e-01,3.100652e-03,3.571175e+03,-2.069896e-02,7
3.200001e-01,3.200658e-03,3.497260e+03,-2.178711e-02,7
3.300015e-01,3.300693e-03,3.276297e+03,-2.371884e-02,8
3.400030e-01,3.400728e-03,3.008780e+03,-2.591140e-02,10
3.500014e-01,3.500734e-03,2.808942e+03,-2.762052e-02,12
3.600028e-01,3.600770e-03,2.671654e+03,-2.889699e-02,12
3.700012e-01,3.700775e-03,2.540015e+03,-3.002440e-02,12
3.800026e-01,3.800811e-03,2.376842e+03,-3.116995e-02,12
3.900010e-01,3.900816e-03,2.252577e+03,-3.217291e-02,12
4.000024e-01,4.000851e-03,2.178979e+03,-3.301989e-02,12
4.100008e-01,4.100857e-03,2.125572e+03,-3.380141e-02,14
4.200023e-01,4.200893e-03,2.078963e+03,-3.455570e-02,14
4.300006e-01,4.300897e-03,2.022840e+03,-3.532416e-02,14
4.400021e-01,4.400934e-03,1.922781e+03,-3.618387e-02,14
4.500005e-01,4.500940e-03,1.811420e+03,-3.705616e-02,14
4.600019e-01,4.600976e-03,1.747265e+03,-3.781409e-02,14
4.700003e-01,4.700981e-03,1.712163e+03,-3.850092e-02,14
4.800017e-01,4.801017e-03,1.687931e+03,-3.915872e-02,14
4.900001e-01,4.901024e-03,1.670554e+03,-3.979653e-02,14
5.000015e-01,5.001059e-03,1.658294e+03,-4.041783e-02,14
5.100030e-01,5.101095e-03,1.648492e+03,-4.103343e-02,18
5.200014e-01,5.201102e-03,1.637472e+03,-4.164974e-02,18
5.300028e-01,5.301138e-03,1.618760e+03,-4.228696e-02,18
5.400012e-01,5.401144e-03,1.579484e+03,-4.297554e-02,18
5.500026e-01,5.501180e-03,1.492367e+03,-4.376911e-02,18
5.600010e-01,5.601185e-03,1.377885e+03,-4.461022e-02,18
5.700024e-01,5.701222e-03,1.295802e+03,-4.537627e-02,18
5.800008e-01,5.801228e-03,1.243396e+03,-4.607422e-02,18
5.900022e-01,5.901264e-03,1.204963e+03,-4.673634e-02,18
6.000006e-01,6.001269e-03,1.175164e+03,-4.737324e-02,18
6.100020e-01,6.101305e-03,1.151373e+03,-4.799486e-02,18
6.200004e-01,6.201311e-03,1.132134e+03,-4.860271e-02,18
6.300018e-01,6.301345e-03,1.116404e+03,-4.919975e-02,18
6.400002e-01,6.401351e-03,1.103675e+03,-4.978723e-02,20
