Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,1.587404e+00,0.000000e+00,0
1.000026e-02,1.000001e-04,3.770199e+02,-7.970820e-05,0
2.000051e-02,2.000185e-04,7.532027e+02,-1.686313e-04,0
3.000077e-02,3.000480e-04,1.128784e+03,-2.626221e-04,0
4.000102e-02,4.000774e-04,1.504039e+03,-3.621653e-04,0
5.000128e-02,5.001069e-04,1.878430e+03,-4.696562e-04,0
6.000153e-02,6.001363e-04,2.252108e+03,-5.857987e-04,0
7.000179e-02,7.001656e-04,2.624817e+03,-7.107937e-04,0
8.000205e-02,8.001952e-04,2.996448e+03,-8.457081e-04,0
9.000230e-02,9.002245e-04,3.366861e+03,-9.915396e-04,0
1.000002e-01,1.000231e-03,3.732783e+03,-1.150866e-03,1
1.100005e-01,1.100203e-03,3.838405e+03,-5.623716e-04,1
1.200007e-01,1.199981e-03,3.946258e+03,-2.562301e-07,1
1.300010e-01,1.299760e-03,4.016136e+03,8.487408e-04,1
1.400013e-01,1.399539e-03,4.112495e+03,1.471264e-03,1
1.500015e-01,1.499318e-03,4.180332e+03,2.240902e-03,1
1.600018e-01,1.599097e-03,4.237637e+03,3.036477e-03,1
1.700020e-01,1.698875e-03,4.295701e+03,3.787161e-03,1
1.800023e-01,1.798654e-03,4.342568e+03,4.562908e-03,1
1.900002e-01,1.898410e-03,4.383327e+03,5.335211e-03,1
2.000005e-01,1.998188e-03,4.423367e+03,6.079508e-03,1
2.100007e-01,2.097967e-03,4.459769e+03,6.811400e-03,1
2.200010e-01,2.197997e-03,4.493059e+03,7.529463e-03,1
2.300012e-01,2.298277e-03,4.524084e+03,8.231403e-03,1
2.400015e-01,2.398557e-03,4.552287e+03,8.921066e-03,1
2.500018e-01,2.498837e-03,4.576521e+03,9.602971e-03,1
2.600020e-01,2.599117e-03,4.596139e+03,1.027958e-02,1
2.700022e-01,2.699398e-03,4.615816e+03,1.093427e-02,1
2.800002e-01,2.799654e-03,4.642418e+03,1.154773e-02,1
2.900004e-01,2.899934e-03,4.673309e+03,1.213595e-02,1
3.000007e-01,3.000214e-03,4.706390e+03,1.270636e-02,1
3.100010e-01,3.100494e-03,4.740839e+03,1.326123e-02,1
3.200012e-01,3.200774e-03,4.775389e+03,1.380529e-02,1
3.300015e-01,3.301054e-03,4.809876e+03,1.434049e-02,1
3.400017e-01,3.401334e-03,4.844044e+03,1.486811e-02,1
3.500020e-01,3.501615e-03,4.877304e+03,1.539117e-02,1
3.600022e-01,3.601895e-03,4.907742e+03,1.591515e-02,1
3.700002e-01,3.702151e-03,4.928624e+03,1.646713e-02,1
3.800004e-01,3.802431e-03,4.903458e+03,1.717888e-02,3
3.900007e-01,3.902712e-03,4.808923e+03,1.812524e-02,3
4.000009e-01,4.002992e-03,4.721486e+03,1.902572e-02,3
4.100012e-01,4.103272e-03,4.641609e+03,1.988093e-02,3
4.200014e-01,4.203552e-03,4.570207e+03,2.069096e-02,3
4.300017e-01,4.303832e-03,4.506302e+03,2.146101e-02,3
4.400020e-01,4.404113e-03,4.447602e+03,2.220093e-02,3
4.500022e-01,4.504393e-03,4.393381e+03,2.291409e-02,3
4.600002e-01,4.604650e-03,4.343522e+03,2.360356e-02,3
4.700004e-01,4.704930e-03,4.297593e+03,2.427151e-02,3
4.800007e-01,4.805211e-03,4.255617e+03,2.491729e-02,3
4.900009e-01,4.905491e-03,4.216907e+03,2.554375e-02,3
5.000012e-01,5.005770e-03,4.180101e+03,2.615641e-02,3
5.100014e-01,5.106051e-03,4.145104e+03,2.675454e-02,3
5.200017e-01,5.206331e-03,4.111856e+03,2.734243e-02,3
5.300019e-01,5.306610e-03,4.079796e+03,2.791570e-02,3
5.400022e-01,5.406891e-03,4.050764e+03,2.847846e-02,3
5.500001e-01,5.507148e-03,4.022994e+03,2.903029e-02,3
5.600004e-01,5.607429e-03,3.996417e+03,2.957272e-02,3
5.700006e-01,5.707709e-03,3.970727e+03,3.010814e-02,3
5.800009e-01,5.807989e-03,3.945743e+03,3.063731e-02,3
5.900012e-01,5.908269e-03,3.920578e+03,3.115878e-02,3
6.000014e-01,6.008548e-03,3.895326e+03,3.167818e-02,3
6.100017e-01,6.108829e-03,3.869141e+03,3.219161e-02,3
6.200019e-01,6.209109e-03,3.842243e+03,3.270406e-02,5
6.300022e-01,6.309389e-03,3.814818e+03,3.321160e-02,5
6.400001e-01,6.409646e-03,3.787827e+03,3.370888e-02,5
6.500004e-01,6.509927e-03,3.761289e+03,3.420626e-02,5
6.600006e-01,6.610206e-03,3.735814e+03,3.469511e-02,5
6.700009e-01,6.710487e-03,3.711294e+03,3.517645e-02,5
6.800011e-01,6.810767e-03,3.688458e+03,3.564753e-02,5
6.900014e-01,6.911047e-03,3.666494e+03,3.611283e-02,5
7.000017e-01,7.011328e-03,3.645667e+03,3.657748e-02,5
7.100019e-01,7.111608e-03,3.626023e+03,3.702673e-02,5
7.200022e-01,7.211888e-03,3.607019e+03,3.747600e-02,5
7.300001e-01,7.312144e-03,3.588897e+03,3.792391e-02,5
7.400004e-01,7.412423e-03,3.571603e+03,3.835712e-02,5
7.500006e-01,7.512704e-03,3.554715e+03,3.879033e-02,5
7.600008e-01,7.612983e-03,3.538319e+03,3.922354e-02,5
7.700011e-01,7.713263e-03,3.522705e+03,3.964700e-02,5
7.800013e-01,7.813543e-03,3.507662e+03,4.006416e-02,5
7.900016e-01,7.913823e-03,3.492955e+03,4.048134e-02,5
8.000019e-01,8.014103e-03,3.479284e+03,4.089825e-02,5
8.100021e-01,8.114383e-03,3.466372e+03,4.129937e-02,5
8.200001e-01,8.214639e-03,3.453932e+03,4.170039e-02,5
8.300003e-01,8.314919e-03,3.442218e+03,4.210151e-02,5
8.400006e-01,8.415199e-03,3.430982e+03,4.250263e-02,5
8.500009e-01,8.515479e-03,3.420731e+03,4.289310e-02,5
8.600011e-01,8.615760e-03,3.411159e+03,4.327818e-02,5
8.700013e-01,8.716040e-03,3.401890e+03,4.366326e-02,5
8.800016e-01,8.816320e-03,3.392735e+03,4.404834e-02,5
8.900018e-01,8.916600e-03,3.384016e+03,4.443341e-02,5
9.000021e-01,9.016881e-03,3.376032e+03,4.481317e-02,5
9.100000e-01,9.117139e-03,3.368695e+03,4.518211e-02,5
9.200003e-01,9.217417e-03,3.362130e+03,4.555114e-02,5
9.300005e-01,9.317698e-03,3.355716e+03,4.592018e-02,5
9.400008e-01,9.417979e-03,3.349574e+03,4.628921e-02,5
9.500011e-01,9.518259e-03,3.344091e+03,4.665824e-02,5
9.600013e-01,9.618541e-03,3.339157e+03,4.701233e-02,5
9.700016e-01,9.718822e-03,3.334438e+03,4.736532e-02,5
9.800018e-01,9.819103e-03,3.330405e+03,4.771830e-02,5
9.900021e-01,9.919383e-03,3.326334e+03,4.807128e-02,5
1.000000e+00,1.001964e-02,3.322366e+03,4.842419e-02,5
