Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,2.447937e+00,0.000000e+00,0
1.000151e-02,1.000211e-04,6.818489e+02,-1.675720e-05,0
2.000126e-02,2.000282e-04,1.363233e+03,-3.389090e-05,1
3.000102e-02,3.000352e-04,1.749336e+03,7.782887e-05,3
4.000077e-02,4.000422e-04,2.088705e+03,2.438574e-04,3
5.000053e-02,5.000493e-04,2.228417e+03,6.286432e-05,3
6.000028e-02,6.000564e-04,2.403128e+03,-4.822527e-05,3
7.000004e-02,7.000632e-04,2.576101e+03,-1.698651e-04,3
8.000154e-02,8.000879e-04,2.748183e+03,-2.959954e-04,3
9.000130e-02,9.000949e-04,2.919321e+03,-4.246750e-04,3
1.000011e-01,1.000102e-03,3.089378e+03,-5.548113e-04,5
1.100008e-01,1.100109e-03,3.257411e+03,-6.827108e-04,5
1.200006e-01,1.199888e-03,3.417791e+03,-7.803494e-04,5
1.300003e-01,1.299563e-03,3.559938e+03,-7.753398e-04,5
1.400001e-01,1.399238e-03,3.697442e+03,-7.428906e-04,5
1.500016e-01,1.498930e-03,3.833885e+03,-7.027935e-04,5
1.600013e-01,1.598605e-03,3.969593e+03,-6.578860e-04,5
1.700011e-01,1.698280e-03,4.104744e+03,-6.093997e-04,5
1.800008e-01,1.797954e-03,4.239359e+03,-5.577759e-04,5
1.900006e-01,1.897629e-03,4.373486e+03,-5.030247e-04,5
2.000003e-01,1.997304e-03,4.507113e+03,-4.451839e-04,5
2.100001e-01,2.096978e-03,4.640263e+03,-3.838614e-04,5
2.200016e-01,2.196670e-03,4.772946e+03,-3.188500e-04,5
2.300014e-01,2.296345e-03,4.905171e+03,-2.501085e-04,5
2.400011e-01,2.396020e-03,5.037091e+03,-1.775016e-04,5
2.500009e-01,2.495695e-03,5.168071e+03,-9.138043e-05,5
2.600006e-01,2.595370e-03,5.298417e+03,1.338398e-06,5
2.700004e-01,2.695045e-03,5.428105e+03,9.960566e-05,5
2.800002e-01,2.794720e-03,5.557088e+03,2.064009e-04,5
2.900017e-01,2.894412e-03,5.685332e+03,3.214843e-04,5
3.000014e-01,2.994087e-03,5.812768e+03,4.440913e-04,5
3.100012e-01,3.093762e-03,5.939332e+03,5.753603e-04,5
3.200009e-01,3.193437e-03,6.064952e+03,7.173104e-04,5
3.300007e-01,3.293111e-03,6.189499e+03,8.728338e-04,5
3.400004e-01,3.392786e-03,6.312877e+03,1.042031e-03,5
3.500002e-01,3.492461e-03,6.434813e+03,1.230254e-03,5
3.600017e-01,3.592153e-03,6.554724e+03,1.449433e-03,5
3.700014e-01,3.691828e-03,6.672634e+03,1.690054e-03,5
3.800012e-01,3.791502e-03,6.788184e+03,1.955395e-03,5
3.900009e-01,3.891178e-03,6.900703e+03,2.254175e-03,5
4.000007e-01,3.990853e-03,7.008933e+03,2.602491e-03,5
4.100004e-01,4.090528e-03,7.112619e+03,2.991721e-03,5
4.200002e-01,4.190203e-03,7.208832e+03,3.456771e-03,5
4.300017e-01,4.289895e-03,7.294852e+03,4.012337e-03,5
4.400015e-01,4.389570e-03,7.361877e+03,4.732325e-03,5
4.500012e-01,4.489245e-03,7.391843e+03,5.736795e-03,5
4.600010e-01,4.588920e-03,7.401740e+03,6.787285e-03,5
4.700007e-01,4.689273e-03,7.435412e+03,7.549854e-03,5
4.800005e-01,4.790277e-03,7.474369e+03,8.225750e-03,5
4.900002e-01,4.891281e-03,7.507623e+03,8.898078e-03,5
5.000000e-01,4.992285e-03,7.534847e+03,9.567894e-03,5
5.100015e-01,5.093307e-03,7.556892e+03,1.023478e-02,5
5.200013e-01,5.194310e-03,7.574883e+03,1.089117e-02,5
5.300010e-01,5.295313e-03,7.589279e+03,1.153785e-02,5
5.400008e-01,5.396317e-03,7.600849e+03,1.217169e-02,5
5.500005e-01,5.497320e-03,7.609599e+03,1.279622e-02,5
5.600003e-01,5.598324e-03,7.614950e+03,1.341819e-02,5
5.700001e-01,5.699327e-03,7.613754e+03,1.405987e-02,7
5.800015e-01,5.800348e-03,7.585235e+03,1.487839e-02,7
5.900013e-01,5.901352e-03,7.241035e+03,1.780378e-02,7
6.000010e-01,6.002356e-03,6.952403e+03,2.017603e-02,7
6.100008e-01,6.103360e-03,6.822691e+03,2.143257e-02,7
6.200005e-01,6.204364e-03,6.766973e+03,2.225608e-02,7
6.300003e-01,6.305369e-03,6.684634e+03,2.319255e-02,7
6.400000e-01,6.406372e-03,6.608441e+03,2.406098e-02,7
6.500016e-01,6.507393e-03,6.541750e+03,2.485368e-02,9
6.600013e-01,6.608397e-03,6.478652e+03,2.560560e-02,9
6.700011e-01,6.709401e-03,6.420967e+03,2.630742e-02,9
6.800008e-01,6.810404e-03,6.367456e+03,2.697178e-02,9
6.900006e-01,6.911408e-03,6.317136e+03,2.760453e-02,9
7.000003e-01,7.012413e-03,6.269957e+03,2.820662e-02,9
7.100001e-01,7.113418e-03,6.227030e+03,2.877497e-02,9
7.200016e-01,7.214440e-03,6.186074e+03,2.931904e-02,9
7.300014e-01,7.315444e-03,6.148671e+03,2.983737e-02,9
7.400011e-01,7.416448e-03,6.113758e+03,3.033561e-02,9
7.500009e-01,7.517452e-03,6.081653e+03,3.081282e-02,7
7.600006e-01,7.618455e-03,6.050939e+03,3.127475e-02,7
7.700004e-01,7.719459e-03,6.021668e+03,3.172274e-02,7
7.800002e-01,7.820463e-03,5.994108e+03,3.215447e-02,7
7.900016e-01,7.921484e-03,5.967269e+03,3.257513e-02,7
8.000014e-01,8.022487e-03,5.940870e+03,3.298655e-02,7
8.100011e-01,8.123492e-03,5.914515e+03,3.339056e-02,7
8.200009e-01,8.224497e-03,5.887559e+03,3.378835e-02,9
8.300006e-01,8.325500e-03,5.860990e+03,3.417360e-02,9
8.400005e-01,8.426504e-03,5.833087e+03,3.455635e-02,9
8.500002e-01,8.527508e-03,5.804434e+03,3.493909e-02,9
8.600017e-01,8.628529e-03,5.775416e+03,3.532095e-02,9
8.700014e-01,8.729534e-03,5.746305e+03,3.568244e-02,9
8.800012e-01,8.830537e-03,5.717374e+03,3.604393e-02,9
8.900009e-01,8.931541e-03,5.687852e+03,3.640542e-02,9
9.000007e-01,9.032544e-03,5.658037e+03,3.676690e-02,9
9.100004e-01,9.133548e-03,5.628985e+03,3.711202e-02,9
9.200002e-01,9.234552e-03,5.600054e+03,3.745225e-02,9
9.300017e-01,9.335574e-03,5.570461e+03,3.779253e-02,9
9.400015e-01,9.436576e-03,5.540892e+03,3.813275e-02,9
9.500012e-01,9.537579e-03,5.511476e+03,3.847296e-02,9
9.600010e-01,9.638581e-03,5.482255e+03,3.880660e-02,9
9.700007e-01,9.739583e-03,5.452515e+03,3.912557e-02,9
9.800005e-01,9.840586e-03,5.422932e+03,3.944452e-02,9
9.900002e-01,9.941589e-03,5.393957e+03,3.976349e-02,11
1.000000e+00,1.004259e-02,5.365396e+03,4.008244e-02,11
