    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63
    	Angle ->    	 4.44580e-09	 1.96345e-01	 3.92705e-01	 5.89038e-01	 7.85398e-01	 9.81758e-01	 1.17809e+00	 1.37445e+00	 1.57080e+00	 1.76714e+00	 1.96350e+00	 2.15983e+00	 2.35619e+00	 2.55255e+00	 2.74889e+00	 2.94525e+00	 3.14159e+00	 3.33794e+00	 3.53430e+00	 3.73063e+00	 3.92699e+00	 4.12335e+00	 4.31968e+00	 4.51604e+00	 4.71239e+00	 4.90873e+00	 5.10509e+00	 5.30143e+00	 5.49779e+00	 5.69415e+00	 5.89048e+00	 6.08684e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000011e-01	 0.00000e+00	 2.80823e-05	 1.41589e-04	 2.35762e-04	 2.42717e-04	 1.98439e-04	 1.42215e-04	 9.62335e-05	 6.30106e-05	 3.65983e-05	 1.75672e-05	 2.75677e-06	-5.85444e-06	-9.65257e-06	-9.07758e-06	-5.29357e-06	-3.68871e-10	 5.29306e-06	 9.07719e-06	 9.65232e-06	 5.85442e-06	-2.75692e-06	-1.75670e-05	-3.65981e-05	-6.30100e-05	-9.62322e-05	-1.42213e-04	-1.98438e-04	-2.42717e-04	-2.35761e-04	-1.41590e-04	-2.80827e-05
U  1	1.000011e-01	 1.00010e-03	 7.10239e-04	 3.05260e-04	 1.08509e-04	 8.78591e-05	 1.16211e-04	 1.39921e-04	 1.48232e-04	 1.46003e-04	 1.37867e-04	 1.26310e-04	 1.12105e-04	 9.78867e-05	 8.45210e-05	 7.38821e-05	 6.73074e-05	 6.47039e-05	 6.73071e-05	 7.38817e-05	 8.45211e-05	 9.78863e-05	 1.12105e-04	 1.26309e-04	 1.37866e-04	 1.46002e-04	 1.48231e-04	 1.39919e-04	 1.16210e-04	 8.78574e-05	 1.08508e-04	 3.05256e-04	 7.10234e-04
U  2	1.000011e-01	-5.54811e-04	-5.26159e-04	-4.53861e-04	-3.42754e-04	-2.19470e-04	-1.11136e-04	-2.46881e-05	 3.21365e-05	 6.32121e-05	 7.08300e-05	 6.38638e-05	 4.61830e-05	 2.60955e-05	 5.35771e-06	-1.02337e-05	-2.13621e-05	-2.42956e-05	-2.13651e-05	-1.02416e-05	 5.34552e-06	 2.60787e-05	 4.61634e-05	 6.38451e-05	 7.08151e-05	 6.32047e-05	 3.21430e-05	-2.46653e-05	-1.11093e-04	-2.19407e-04	-3.42678e-04	-4.53783e-04	-5.26111e-04
UR 0	1.000011e-01	 4.49752e-03	 4.11804e-03	 3.56591e-03	 2.87720e-03	 2.06893e-03	 1.42319e-03	 9.49130e-04	 6.28764e-04	 4.20069e-04	 2.70276e-04	 1.45574e-04	 1.30642e-05	-1.02433e-04	-2.28746e-04	-3.08672e-04	-3.83254e-04	-3.89539e-04	-3.83271e-04	-3.08706e-04	-2.28799e-04	-1.02504e-04	 1.29727e-05	 1.45454e-04	 2.70112e-04	 4.19832e-04	 6.28419e-04	 9.48603e-04	 1.42243e-03	 2.06787e-03	 2.87573e-03	 3.56390e-03	 4.11559e-03
UR 1	1.000011e-01	 6.49754e-07	-4.01930e-04	-8.32752e-04	-1.39893e-03	-1.71656e-03	-1.88195e-03	-1.96948e-03	-1.88582e-03	-1.71394e-03	-1.42686e-03	-1.13254e-03	-8.18909e-04	-5.68711e-04	-3.51949e-04	-2.05037e-04	-8.84389e-05	-4.86320e-08	 8.83355e-05	 2.04914e-04	 3.51805e-04	 5.68546e-04	 8.18728e-04	 1.13235e-03	 1.42670e-03	 1.71383e-03	 1.88581e-03	 1.96961e-03	 1.88226e-03	 1.71709e-03	 1.39969e-03	 8.33838e-04	 4.03301e-04
UR 2	1.000011e-01	-6.24985e-08	-9.79821e-03	-7.70560e-03	-2.37498e-03	 7.05627e-04	 1.40476e-03	 1.24468e-03	 8.74560e-04	 6.66509e-04	 5.45411e-04	 4.65941e-04	 4.05516e-04	 3.19926e-04	 2.51139e-04	 1.60147e-04	 8.34093e-05	 4.19298e-09	-8.34058e-05	-1.60150e-04	-2.51137e-04	-3.19921e-04	-4.05514e-04	-4.65939e-04	-5.45410e-04	-6.66504e-04	-8.74559e-04	-1.24467e-03	-1.40475e-03	-7.05625e-04	 2.37496e-03	 7.70558e-03	 9.79829e-03
U  0	2.000003e-01	 0.00000e+00	 4.38487e-05	 2.51951e-04	 4.62191e-04	 5.14417e-04	 4.38608e-04	 3.22616e-04	 2.19079e-04	 1.41813e-04	 8.23143e-05	 3.85830e-05	 6.26618e-06	-1.32517e-05	-2.15332e-05	-2.02243e-05	-1.18286e-05	 2.74606e-08	 1.18823e-05	 2.02753e-05	 2.15795e-05	 1.32912e-05	-6.23550e-06	-3.85614e-05	-8.23022e-05	-1.41814e-04	-2.19092e-04	-3.22647e-04	-4.38663e-04	-5.14438e-04	-4.62213e-04	-2.51928e-04	-4.38404e-05
U  1	2.000003e-01	 1.99730e-03	 1.50595e-03	 7.49616e-04	 3.11130e-04	 2.20513e-04	 2.64460e-04	 3.12114e-04	 3.30810e-04	 3.26142e-04	 3.07906e-04	 2.81710e-04	 2.50386e-04	 2.18375e-04	 1.88780e-04	 1.65043e-04	 1.50187e-04	 1.44658e-04	 1.50200e-04	 1.65065e-04	 1.88811e-04	 2.18413e-04	 2.50431e-04	 2.81761e-04	 3.07960e-04	 3.26197e-04	 3.30863e-04	 3.12163e-04	 2.64506e-04	 2.20560e-04	 3.11203e-04	 7.49715e-04	 1.50605e-03
