Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,4.997557e-01,0.000000e+00,0
1.000144e-02,1.000131e-04,6.348829e+02,-1.292600e-05,0
2.000048e-02,1.999944e-04,1.268961e+03,-2.605190e-05,1
3.000192e-02,2.999999e-04,1.701413e+03,6.129183e-05,3
4.000096e-02,3.999813e-04,1.935590e+03,1.950727e-04,3
5.000240e-02,4.999868e-04,2.011637e+03,-1.097050e-05,3
6.000144e-02,5.999681e-04,2.170682e+03,-1.175097e-04,3
7.000048e-02,6.999495e-04,2.330872e+03,-2.249097e-04,5
8.000192e-02,7.999548e-04,2.490639e+03,-3.316913e-04,5
9.000096e-02,8.999362e-04,2.645476e+03,-4.275590e-04,5
1.000024e-01,9.999416e-04,2.757795e+03,-3.776346e-04,5
1.100014e-01,1.099923e-03,2.865219e+03,-3.060323e-04,5
1.200005e-01,1.200111e-03,2.975833e+03,-2.442887e-04,5
1.300019e-01,1.300358e-03,3.086523e+03,-1.819759e-04,5
1.400010e-01,1.400582e-03,3.196954e+03,-1.181619e-04,5
1.500024e-01,1.500829e-03,3.307117e+03,-5.280938e-05,5
1.600014e-01,1.601053e-03,3.416958e+03,1.413134e-05,5
1.700005e-01,1.701276e-03,3.526472e+03,8.273342e-05,5
1.800019e-01,1.801524e-03,3.635672e+03,1.529970e-04,5
1.900010e-01,1.901747e-03,3.744570e+03,2.248879e-04,5
2.000024e-01,2.001995e-03,3.852982e+03,3.009174e-04,5
2.100014e-01,2.102219e-03,3.960919e+03,3.796233e-04,5
2.200005e-01,2.202442e-03,4.068444e+03,4.604134e-04,5
2.300019e-01,2.302503e-03,4.175558e+03,5.429876e-04,5
2.400010e-01,2.402243e-03,4.282251e+03,6.276095e-04,5
2.500000e-01,2.501982e-03,4.388495e+03,7.141791e-04,5
2.600015e-01,2.601746e-03,4.494322e+03,8.026194e-04,5
2.700005e-01,2.701485e-03,4.599625e+03,8.931522e-04,5
2.800019e-01,2.801248e-03,4.704514e+03,9.857321e-04,5
2.900009e-01,2.900988e-03,4.808927e+03,1.080301e-03,5
3.000024e-01,3.000751e-03,4.912833e+03,1.176924e-03,5
3.100014e-01,3.100490e-03,5.016221e+03,1.275709e-03,5
3.200005e-01,3.200229e-03,5.119125e+03,1.376787e-03,7
3.300019e-01,3.299993e-03,5.221508e+03,1.479884e-03,7
3.400010e-01,3.399732e-03,5.323326e+03,1.584742e-03,7
3.500000e-01,3.499471e-03,5.424552e+03,1.691226e-03,7
3.600014e-01,3.599234e-03,5.525208e+03,1.798872e-03,7
3.700005e-01,3.698973e-03,5.625225e+03,1.907093e-03,7
3.800019e-01,3.798736e-03,5.724619e+03,2.015114e-03,7
3.900009e-01,3.898475e-03,5.823319e+03,2.122636e-03,7
4.000024e-01,3.998238e-03,5.921404e+03,2.229354e-03,7
4.100014e-01,4.097977e-03,6.018821e+03,2.335024e-03,7
4.200005e-01,4.197716e-03,6.115612e+03,2.440573e-03,7
4.300019e-01,4.297480e-03,6.211839e+03,2.547179e-03,7
4.400010e-01,4.397219e-03,6.307429e+03,2.656141e-03,7
4.500000e-01,4.496958e-03,6.402430e+03,2.769554e-03,7
4.600014e-01,4.597487e-03,6.496821e+03,2.888627e-03,7
4.700005e-01,4.698196e-03,6.590601e+03,3.014549e-03,7
4.800019e-01,4.798928e-03,6.683797e+03,3.147707e-03,7
4.900010e-01,4.899636e-03,6.776256e+03,3.289426e-03,7
5.000000e-01,5.000343e-03,6.868036e+03,3.441365e-03,7
5.100014e-01,5.101074e-03,6.959058e+03,3.604726e-03,7
5.200005e-01,5.201782e-03,7.048978e+03,3.784412e-03,7
5.300019e-01,5.302515e-03,7.137500e+03,3.994643e-03,7
5.400010e-01,5.403222e-03,7.224912e+03,4.219737e-03,7
5.500000e-01,5.503930e-03,7.311020e+03,4.458126e-03,7
5.600014e-01,5.604662e-03,7.395731e+03,4.710750e-03,7
5.700005e-01,5.705370e-03,7.478833e+03,4.976563e-03,7
5.800019e-01,5.806102e-03,7.560382e+03,5.253101e-03,7
5.900009e-01,5.906810e-03,7.639593e+03,5.547586e-03,7
6.000024e-01,6.007541e-03,7.716757e+03,5.858104e-03,7
6.100014e-01,6.108249e-03,7.791718e+03,6.174617e-03,7
6.200005e-01,6.208957e-03,7.864375e+03,6.497722e-03,7
6.300019e-01,6.309688e-03,7.934309e+03,6.831387e-03,6
6.400009e-01,6.410397e-03,8.001255e+03,7.177181e-03,5
6.500000e-01,6.511105e-03,8.063859e+03,7.549360e-03,5
6.600014e-01,6.611836e-03,8.122961e+03,7.938955e-03,5
6.700005e-01,6.712544e-03,8.178760e+03,8.340893e-03,5
6.800019e-01,6.813276e-03,8.232145e+03,8.749879e-03,5
6.900010e-01,6.913984e-03,8.282912e+03,9.173261e-03,7
7.000000e-01,7.014691e-03,8.324738e+03,9.683948e-03,7
7.100014e-01,7.115423e-03,8.296579e+03,1.094255e-02,7
7.200004e-01,7.216130e-03,7.854184e+03,1.573104e-02,7
7.300019e-01,7.316863e-03,7.585680e+03,1.851500e-02,7
7.400010e-01,7.417570e-03,7.553331e+03,1.934806e-02,7
7.500000e-01,7.518278e-03,7.466542e+03,2.055003e-02,7
7.600014e-01,7.619010e-03,7.396243e+03,2.157967e-02,7
7.700005e-01,7.719718e-03,7.343508e+03,2.246739e-02,7
7.800019e-01,7.820450e-03,7.289312e+03,2.333633e-02,7
7.900009e-01,7.921157e-03,7.241704e+03,2.414149e-02,7
8.000024e-01,8.021890e-03,7.197004e+03,2.490855e-02,7
8.100014e-01,8.122598e-03,7.154499e+03,2.564571e-02,7
8.200005e-01,8.223305e-03,7.114943e+03,2.635035e-02,7
8.300019e-01,8.324038e-03,7.077742e+03,2.702708e-02,7
8.400009e-01,8.424745e-03,7.041249e+03,2.768600e-02,7
8.500024e-01,8.525477e-03,7.005354e+03,2.833045e-02,7
8.600014e-01,8.626185e-03,6.969403e+03,2.896414e-02,7
8.700005e-01,8.726892e-03,6.932693e+03,2.959163e-02,9
8.800019e-01,8.827624e-03,6.894239e+03,3.021926e-02,9
8.900009e-01,8.928332e-03,6.853854e+03,3.084675e-02,9
9.000000e-01,9.029040e-03,6.811200e+03,3.147636e-02,9
9.100014e-01,9.129770e-03,6.765499e+03,3.211174e-02,11
9.200004e-01,9.230477e-03,6.717051e+03,3.275388e-02,11
9.300019e-01,9.331209e-03,6.666575e+03,3.340214e-02,11
9.400010e-01,9.431915e-03,6.614146e+03,3.405726e-02,13
9.500000e-01,9.532621e-03,6.559328e+03,3.472902e-02,13
9.600014e-01,9.633353e-03,6.502297e+03,3.541869e-02,13
9.700004e-01,9.734060e-03,6.443255e+03,3.611589e-02,13
9.800019e-01,9.834792e-03,6.383978e+03,3.681327e-02,13
9.900010e-01,9.935499e-03,6.326559e+03,3.749430e-02,13
1.000000e+00,1.003620e-02,6.269771e+03,3.816051e-02,13
