Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.930632e+00,0.000000e+00,7
1.000172e-02,1.000144e-04,4.700110e+02,-2.137268e-05,5
2.000101e-02,2.000231e-04,4.064817e+02,-1.975022e-05,5
3.000031e-02,3.000373e-04,4.966773e+02,-2.301233e-04,7
4.000203e-02,4.000197e-04,5.752927e+02,-7.521367e-05,5
5.000133e-02,4.999780e-04,6.641809e+02,-2.414203e-05,5
6.000062e-02,5.999362e-04,7.560505e+02,2.137771e-05,5
7.000234e-02,6.999188e-04,8.484355e+02,6.328522e-05,7
8.000164e-02,7.998771e-04,9.408367e+02,1.045428e-04,7
9.000093e-02,8.998353e-04,1.033161e+03,1.459803e-04,7
1.000002e-01,9.997935e-04,1.125351e+03,1.880081e-04,7
1.100020e-01,1.099776e-03,1.217395e+03,2.308245e-04,7
1.200012e-01,1.199734e-03,1.309241e+03,2.744413e-04,7
1.300005e-01,1.299868e-03,1.400886e+03,3.189056e-04,7
1.400023e-01,1.400091e-03,1.492350e+03,3.642620e-04,7
1.500016e-01,1.500290e-03,1.583577e+03,4.104843e-04,7
1.600009e-01,1.600490e-03,1.674587e+03,4.576075e-04,7
1.700002e-01,1.700689e-03,1.765378e+03,5.056270e-04,7
1.800019e-01,1.800912e-03,1.855980e+03,5.546335e-04,7
1.900012e-01,1.901111e-03,1.946334e+03,6.046303e-04,7
2.000005e-01,2.001310e-03,2.036459e+03,6.556882e-04,7
2.100022e-01,2.101533e-03,2.126368e+03,7.078613e-04,7
2.200015e-01,2.201733e-03,2.216029e+03,7.611822e-04,7
2.300008e-01,2.301932e-03,2.305442e+03,8.157745e-04,7
2.400001e-01,2.402131e-03,2.394614e+03,8.717435e-04,7
2.500018e-01,2.502354e-03,2.483563e+03,9.290569e-04,7
2.600011e-01,2.602553e-03,2.572251e+03,9.877852e-04,7
2.700004e-01,2.702752e-03,2.660675e+03,1.048034e-03,5
2.800021e-01,2.802975e-03,2.748879e+03,1.109816e-03,5
2.900014e-01,2.903174e-03,2.836816e+03,1.173174e-03,5
3.000007e-01,3.003373e-03,2.924488e+03,1.238211e-03,5
3.100000e-01,3.103572e-03,3.011896e+03,1.304969e-03,5
3.200017e-01,3.203796e-03,3.099064e+03,1.373630e-03,5
3.300010e-01,3.303995e-03,3.185926e+03,1.444406e-03,5
3.400003e-01,3.404194e-03,3.272549e+03,1.516971e-03,5
3.500021e-01,3.504418e-03,3.358925e+03,1.591591e-03,5
3.600013e-01,3.604617e-03,3.445006e+03,1.668153e-03,5
3.700006e-01,3.704815e-03,3.530802e+03,1.746926e-03,5
3.800023e-01,3.805039e-03,3.616327e+03,1.827951e-03,5
3.900017e-01,3.905238e-03,3.701587e+03,1.911579e-03,5
4.000010e-01,4.005437e-03,3.786639e+03,1.998073e-03,5
4.100002e-01,4.105637e-03,3.871413e+03,2.089002e-03,5
4.200020e-01,4.205860e-03,3.955504e+03,2.190154e-03,5
4.300013e-01,4.306058e-03,4.039211e+03,2.295230e-03,5
4.400006e-01,4.406258e-03,4.122570e+03,2.403901e-03,5
4.500023e-01,4.506482e-03,4.205551e+03,2.516533e-03,5
4.600016e-01,4.606680e-03,4.288119e+03,2.633151e-03,5
4.700009e-01,4.706879e-03,4.370240e+03,2.755061e-03,5
4.800002e-01,4.807078e-03,4.451915e+03,2.882116e-03,5
4.900019e-01,4.907301e-03,4.533166e+03,3.014453e-03,5
5.000012e-01,5.007501e-03,4.613896e+03,3.152579e-03,5
5.100005e-01,5.107700e-03,4.694138e+03,3.297525e-03,5
5.200022e-01,5.207924e-03,4.773893e+03,3.448447e-03,5
5.300015e-01,5.308122e-03,4.853030e+03,3.606579e-03,5
5.400008e-01,5.408323e-03,4.931568e+03,3.772906e-03,5
5.500001e-01,5.508523e-03,5.009464e+03,3.946662e-03,5
5.600018e-01,5.608746e-03,5.086701e+03,4.128976e-03,5
5.700011e-01,5.708945e-03,5.163200e+03,4.320022e-03,5
5.800004e-01,5.809144e-03,5.238866e+03,4.520966e-03,5
5.900021e-01,5.909367e-03,5.313701e+03,4.732884e-03,5
6.000014e-01,6.009567e-03,5.387584e+03,4.955998e-03,5
6.100007e-01,6.109766e-03,5.460442e+03,5.191226e-03,5
6.200000e-01,6.209965e-03,5.531565e+03,5.456477e-03,5
6.300017e-01,6.310189e-03,5.601627e+03,5.732209e-03,5
6.400011e-01,6.410387e-03,5.670100e+03,6.025743e-03,5
6.500003e-01,6.510587e-03,5.737093e+03,6.335087e-03,5
6.600021e-01,6.610810e-03,5.802345e+03,6.662894e-03,5
6.700013e-01,6.711009e-03,5.865802e+03,7.007764e-03,5
6.800007e-01,6.811208e-03,5.927095e+03,7.375030e-03,5
6.900024e-01,6.911431e-03,5.985431e+03,7.776345e-03,5
7.000017e-01,7.011631e-03,6.040606e+03,8.211434e-03,5
7.100009e-01,7.111830e-03,6.092733e+03,8.672687e-03,5
7.200003e-01,7.212029e-03,6.141966e+03,9.154022e-03,5
7.300020e-01,7.312253e-03,6.187341e+03,9.664816e-03,5
7.400013e-01,7.412452e-03,6.227849e+03,1.022212e-02,5
7.500006e-01,7.512651e-03,6.265199e+03,1.079333e-02,5
7.600023e-01,7.612874e-03,6.299034e+03,1.137920e-02,5
7.700016e-01,7.713073e-03,6.330088e+03,1.197143e-02,5
7.800009e-01,7.813272e-03,6.358841e+03,1.256492e-02,5
7.900002e-01,7.913471e-03,6.385712e+03,1.315548e-02,5
8.000019e-01,8.013694e-03,6.410791e+03,1.374333e-02,5
8.100012e-01,8.113892e-03,6.434329e+03,1.432531e-02,5
8.200005e-01,8.214090e-03,6.455960e+03,1.490723e-02,5
8.300022e-01,8.314313e-03,6.475652e+03,1.548930e-02,5
8.400015e-01,8.414513e-03,6.493479e+03,1.607011e-02,5
8.500008e-01,8.514712e-03,6.509505e+03,1.664920e-02,5
8.600001e-01,8.614911e-03,6.522869e+03,1.724010e-02,5
8.700019e-01,8.715134e-03,6.532984e+03,1.785453e-02,7
8.800011e-01,8.815333e-03,6.534444e+03,1.857141e-02,7
8.900004e-01,8.915531e-03,6.481445e+03,2.005850e-02,7
9.000021e-01,9.015756e-03,6.120268e+03,2.510686e-02,7
9.100015e-01,9.115955e-03,5.830291e+03,2.889119e-02,7
9.200007e-01,9.216154e-03,5.914657e+03,2.862219e-02,7
9.300000e-01,9.316353e-03,5.790141e+03,3.042692e-02,7
9.400017e-01,9.416576e-03,5.779693e+03,3.108807e-02,7
9.500011e-01,9.516776e-03,5.723345e+03,3.215545e-02,7
9.600003e-01,9.616977e-03,5.693479e+03,3.295300e-02,7
9.700021e-01,9.717199e-03,5.653229e+03,3.382387e-02,7
9.800013e-01,9.817398e-03,5.618799e+03,3.462299e-02,9
9.900007e-01,9.917598e-03,5.582883e+03,3.541867e-02,9
1.000000e+00,1.001780e-02,5.550314e+03,3.616821e-02,9
