Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,1.274459e+00,0.000000e+00,0
1.000232e-02,1.000234e-04,4.345072e+02,-7.066208e-05,0
2.000217e-02,2.000020e-04,8.680232e+02,-1.518094e-04,0
3.000202e-02,2.999926e-04,1.301036e+03,-2.363328e-04,0
4.000187e-02,4.000208e-04,1.733241e+03,-3.317415e-04,0
5.000173e-02,5.000490e-04,2.164193e+03,-4.399121e-04,0
6.000158e-02,6.000772e-04,2.593062e+03,-5.635368e-04,0
7.000143e-02,7.001056e-04,3.002397e+03,-6.896132e-04,1
8.000128e-02,8.001337e-04,3.148410e+03,6.006590e-05,1
9.000113e-02,9.001622e-04,3.315232e+03,6.934846e-04,1
1.000010e-01,1.000190e-03,3.435699e+03,1.610012e-03,1
1.100008e-01,1.100219e-03,3.554582e+03,2.463068e-03,1
1.200007e-01,1.200247e-03,3.648715e+03,3.391533e-03,1
1.300005e-01,1.300275e-03,3.727426e+03,4.334209e-03,1
1.400004e-01,1.400303e-03,3.800111e+03,5.241400e-03,1
1.500002e-01,1.500331e-03,3.862301e+03,6.139411e-03,1
1.600001e-01,1.600360e-03,3.900023e+03,7.077627e-03,3
1.700024e-01,1.700413e-03,3.511715e+03,9.362889e-03,3
1.800023e-01,1.800441e-03,3.137855e+03,1.134541e-02,3
1.900021e-01,1.900469e-03,2.870108e+03,1.288267e-02,3
2.000020e-01,2.000497e-03,2.738068e+03,1.395578e-02,3
2.100018e-01,2.100526e-03,2.598458e+03,1.499014e-02,3
2.200017e-01,2.200554e-03,2.493315e+03,1.589703e-02,3
2.300015e-01,2.300582e-03,2.419635e+03,1.671907e-02,3
2.400014e-01,2.400610e-03,2.356025e+03,1.750146e-02,3
2.500012e-01,2.500639e-03,2.297276e+03,1.825520e-02,3
2.600011e-01,2.600666e-03,2.238173e+03,1.899358e-02,3
2.700009e-01,2.700695e-03,2.168228e+03,1.974176e-02,5
2.800008e-01,2.800723e-03,2.075174e+03,2.052342e-02,5
2.900006e-01,2.900751e-03,1.960996e+03,2.133087e-02,7
3.000005e-01,3.000779e-03,1.854418e+03,2.209995e-02,7
3.100003e-01,3.100808e-03,1.769441e+03,2.280588e-02,7
3.200002e-01,3.200836e-03,1.700669e+03,2.346505e-02,7
3.300000e-01,3.300864e-03,1.621888e+03,2.413493e-02,9
3.400024e-01,3.400917e-03,1.284760e+03,2.528204e-02,10
3.500022e-01,3.500945e-03,-5.804235e+01,2.678237e-02,20
3.600021e-01,3.600974e-03,-9.512988e+01,2.781401e-02,16
3.700019e-01,3.701002e-03,1.321445e+02,2.755334e-02,20
3.800018e-01,3.801030e-03,1.696987e+02,2.822618e-02,17
3.900016e-01,3.901057e-03,2.240292e+02,2.856043e-02,17
4.000015e-01,4.001086e-03,2.500256e+02,2.877379e-02,16
4.100013e-01,4.101114e-03,2.439317e+02,2.943825e-02,16
4.200012e-01,4.201141e-03,3.387242e+02,2.954751e-02,16
4.300010e-01,4.301169e-03,3.482859e+02,3.003369e-02,16
4.400009e-01,4.401197e-03,3.713258e+02,3.045514e-02,16
4.500007e-01,4.501225e-03,3.921353e+02,3.091604e-02,16
4.600006e-01,4.601253e-03,4.181440e+02,3.133070e-02,16
4.700004e-01,4.701281e-03,4.511021e+02,3.170998e-02,16
4.800003e-01,4.801310e-03,4.772373e+02,3.212132e-02,16
4.900001e-01,4.901339e-03,5.009816e+02,3.253051e-02,16
5.000024e-01,5.001392e-03,5.231188e+02,3.294429e-02,17
5.100023e-01,5.101420e-03,5.421768e+02,3.336185e-02,17
5.200021e-01,5.201449e-03,5.529596e+02,3.379978e-02,17
5.300020e-01,5.301477e-03,5.579554e+02,3.425273e-02,17
5.400019e-01,5.401505e-03,5.617383e+02,3.470569e-02,17
5.500017e-01,5.501534e-03,5.656478e+02,3.515687e-02,17
5.600016e-01,5.601563e-03,5.692837e+02,3.559472e-02,17
5.700014e-01,5.701592e-03,5.728280e+02,3.603258e-02,17
5.800012e-01,5.801619e-03,5.762957e+02,3.647044e-02,17
5.900011e-01,5.901647e-03,5.796937e+02,3.690829e-02,17
6.000010e-01,6.001675e-03,5.827747e+02,3.734615e-02,17
