Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.422049e+01,0.000000e+00,0
1.000354e-02,3.937304e-05,2.223227e+02,1.373303e-06,0
2.000350e-02,7.873306e-05,4.566729e+02,2.835350e-06,0
3.000346e-02,1.180931e-04,6.902725e+02,4.469025e-06,0
4.000343e-02,1.574531e-04,9.238537e+02,6.116401e-06,0
5.000339e-02,1.968131e-04,1.157616e+03,8.084004e-06,0
6.000336e-02,2.361732e-04,1.391257e+03,1.037355e-05,0
7.000332e-02,2.755332e-04,1.624889e+03,1.284971e-05,0
8.000328e-02,3.148932e-04,1.858452e+03,1.518784e-05,0
9.000325e-02,3.542533e-04,2.092002e+03,1.758134e-05,0
1.000032e-01,3.936132e-04,2.325652e+03,1.997410e-05,0
1.100032e-01,4.329732e-04,2.559404e+03,2.273860e-05,0
1.200031e-01,4.723332e-04,2.793053e+03,2.587753e-05,0
1.300031e-01,5.116932e-04,3.026991e+03,2.902888e-05,0
1.400031e-01,5.510309e-04,3.260823e+03,3.240046e-05,0
1.500030e-01,5.903094e-04,3.494497e+03,3.599701e-05,0
1.600030e-01,6.295880e-04,3.728372e+03,4.001535e-05,0
1.700030e-01,6.688666e-04,3.962193e+03,4.430555e-05,0
1.800029e-01,7.081450e-04,4.196038e+03,4.906051e-05,0
1.900029e-01,7.474235e-04,4.429837e+03,5.427734e-05,0
2.000029e-01,7.867021e-04,4.663760e+03,5.994440e-05,0
2.100028e-01,8.259808e-04,4.897729e+03,6.621297e-05,0
2.200028e-01,8.652593e-04,5.131710e+03,7.319847e-05,0
2.300027e-01,9.045377e-04,5.365651e+03,8.106339e-05,0
2.400027e-01,9.438163e-04,5.599702e+03,8.991849e-05,0
2.500027e-01,9.830948e-04,5.833632e+03,1.001092e-04,0
2.600026e-01,1.022373e-03,6.067684e+03,1.142206e-04,0
2.700026e-01,1.061652e-03,6.301521e+03,1.366159e-04,0
2.800026e-01,1.101017e-03,6.535421e+03,1.601297e-04,0
2.900025e-01,1.140459e-03,6.769277e+03,1.882058e-04,0
3.000025e-01,1.179900e-03,7.002835e+03,2.304158e-04,0
