Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-2.475292e+00,0.000000e+00,0
1.000003e-02,3.409903e-05,1.628969e+02,2.025375e-07,0
2.000006e-02,6.819774e-05,3.279643e+02,6.924096e-07,0
3.000009e-02,1.022964e-04,4.930828e+02,1.246115e-06,0
4.000012e-02,1.363952e-04,6.581934e+02,1.895822e-06,0
5.000015e-02,1.704939e-04,8.232410e+02,2.634617e-06,0
6.000018e-02,2.045926e-04,9.884197e+02,3.466520e-06,0
7.000021e-02,2.386913e-04,1.153545e+03,4.419709e-06,0
8.000024e-02,2.728120e-04,1.318641e+03,5.488298e-06,0
9.000027e-02,3.069589e-04,1.483742e+03,6.731867e-06,0
1.000003e-01,3.411057e-04,1.648801e+03,8.182502e-06,0
1.100003e-01,3.752525e-04,1.813893e+03,9.700465e-06,0
1.200004e-01,4.093994e-04,1.978850e+03,1.128479e-05,0
1.300004e-01,4.435462e-04,2.144013e+03,1.285785e-05,0
1.400004e-01,4.776929e-04,2.309044e+03,1.446506e-05,0
1.500005e-01,5.118397e-04,2.474155e+03,1.625635e-05,0
1.600005e-01,5.458971e-04,2.639255e+03,1.828370e-05,0
1.700005e-01,5.799477e-04,2.804341e+03,2.052235e-05,0
1.800005e-01,6.139982e-04,2.969429e+03,2.301332e-05,0
1.900006e-01,6.480488e-04,3.134520e+03,2.577029e-05,0
2.000006e-01,6.820995e-04,3.299625e+03,2.887781e-05,0
2.100006e-01,7.161502e-04,3.464699e+03,3.238696e-05,0
2.200007e-01,7.502007e-04,3.629793e+03,3.637960e-05,0
2.300007e-01,7.842513e-04,3.794881e+03,4.091400e-05,0
2.400007e-01,8.183020e-04,3.960051e+03,4.610556e-05,0
2.500007e-01,8.523526e-04,4.125130e+03,5.207801e-05,0
2.600008e-01,8.864033e-04,4.290258e+03,5.902403e-05,0
2.700008e-01,9.204539e-04,4.455321e+03,6.720365e-05,0
2.800008e-01,9.545046e-04,4.620394e+03,7.693186e-05,0
2.900009e-01,9.885553e-04,4.785556e+03,8.859524e-05,0
3.000009e-01,1.022606e-03,4.950601e+03,1.027310e-04,0
3.100009e-01,1.056817e-03,5.115672e+03,1.199948e-04,0
3.200009e-01,1.091060e-03,5.280768e+03,1.412742e-04,0
3.300010e-01,1.125303e-03,5.445749e+03,1.678036e-04,0
3.400010e-01,1.159546e-03,5.610670e+03,2.014540e-04,0
3.500010e-01,1.193789e-03,5.775563e+03,2.445180e-04,0
3.600011e-01,1.228032e-03,5.940360e+03,3.010473e-04,0
3.700011e-01,1.262275e-03,6.104974e+03,3.781121e-04,0
3.800011e-01,1.296518e-03,6.269037e+03,4.817117e-04,0
3.900012e-01,1.330761e-03,6.432573e+03,6.222789e-04,0
4.000012e-01,1.365004e-03,6.594726e+03,8.162013e-04,0
4.100012e-01,1.399247e-03,6.754516e+03,1.083340e-03,0
4.200013e-01,1.433490e-03,6.910120e+03,1.447038e-03,0
4.300013e-01,1.467733e-03,7.058833e+03,1.922538e-03,0
4.400013e-01,1.501976e-03,7.198441e+03,2.494546e-03,0
4.500014e-01,1.536219e-03,7.330205e+03,3.088679e-03,0
4.600014e-01,1.570462e-03,7.461542e+03,3.596975e-03,0
4.700014e-01,1.604705e-03,7.600151e+03,3.958771e-03,0
4.800014e-01,1.638948e-03,7.746458e+03,4.201200e-03,0
4.900015e-01,1.673191e-03,7.897343e+03,4.383506e-03,0
5.000015e-01,1.707434e-03,8.049815e+03,4.541638e-03,0
5.100015e-01,1.741677e-03,8.202725e+03,4.690862e-03,0
5.200015e-01,1.775920e-03,8.355773e+03,4.836757e-03,0
5.300016e-01,1.810163e-03,8.508600e+03,4.981424e-03,0
5.400016e-01,1.844406e-03,8.661336e+03,5.125537e-03,0
5.500016e-01,1.878649e-03,8.814273e+03,5.266280e-03,0
5.600017e-01,1.912891e-03,8.966843e+03,5.406330e-03,0
5.700017e-01,1.947134e-03,9.119116e+03,5.546380e-03,0
5.800017e-01,1.981377e-03,9.271333e+03,5.686254e-03,0
5.900018e-01,2.015620e-03,9.423660e+03,5.823566e-03,0
6.000018e-01,2.049779e-03,9.575948e+03,5.960538e-03,0
6.100018e-01,2.083637e-03,9.728213e+03,6.096721e-03,0
6.200019e-01,2.117495e-03,9.880522e+03,6.232154e-03,0
6.300019e-01,2.151354e-03,1.003247e+04,6.366269e-03,0
6.400019e-01,2.185212e-03,1.018416e+04,6.500163e-03,0
6.500019e-01,2.219070e-03,1.033577e+04,6.634057e-03,0
6.600020e-01,2.252928e-03,1.048733e+04,6.767951e-03,0
6.700020e-01,2.286787e-03,1.063878e+04,6.901846e-03,0
6.800020e-01,2.320645e-03,1.079008e+04,7.035740e-03,0
6.900021e-01,2.354503e-03,1.094131e+04,7.169634e-03,0
7.000021e-01,2.388361e-03,1.109249e+04,7.302297e-03,0
7.100021e-01,2.422219e-03,1.124371e+04,7.433113e-03,0
7.200022e-01,2.456077e-03,1.139496e+04,7.563929e-03,0
7.300022e-01,2.489936e-03,1.154609e+04,7.694745e-03,0
7.400022e-01,2.523794e-03,1.169718e+04,7.825560e-03,0
7.500023e-01,2.557652e-03,1.184800e+04,7.955996e-03,0
7.600023e-01,2.591511e-03,1.199843e+04,8.085272e-03,0
7.700023e-01,2.625369e-03,1.214868e+04,8.214548e-03,0
7.800024e-01,2.659227e-03,1.229891e+04,8.343824e-03,0
7.900023e-01,2.693085e-03,1.244904e+04,8.473102e-03,0
8.000024e-01,2.726943e-03,1.259922e+04,8.602379e-03,0
8.100024e-01,2.760801e-03,1.274900e+04,8.731655e-03,0
8.200024e-01,2.794659e-03,1.289880e+04,8.860932e-03,0
8.300025e-01,2.828517e-03,1.304841e+04,8.990209e-03,0
