Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.739619e+00,0.000000e+00,0
1.000321e-02,9.026114e-05,3.478486e+02,7.571101e-07,0
2.000293e-02,1.804912e-04,6.955676e+02,1.612949e-06,0
3.000265e-02,2.707212e-04,1.043479e+03,2.477808e-06,0
4.000238e-02,3.609123e-04,1.391400e+03,3.380982e-06,0
5.000209e-02,4.511006e-04,1.739323e+03,4.329253e-06,0
6.000182e-02,5.412890e-04,2.087324e+03,5.340976e-06,0
7.000154e-02,6.314774e-04,2.435327e+03,6.378386e-06,0
8.000126e-02,7.216658e-04,2.783386e+03,7.462015e-06,0
9.000098e-02,8.118542e-04,3.131510e+03,8.580802e-06,0
1.000007e-01,9.020425e-04,3.479542e+03,9.772538e-06,0
1.100004e-01,9.922308e-04,3.827649e+03,1.105927e-05,0
1.200001e-01,1.082419e-03,4.175880e+03,1.243257e-05,0
1.300033e-01,1.172760e-03,4.524257e+03,1.389674e-05,0
1.400031e-01,1.263115e-03,4.872398e+03,1.546817e-05,0
1.500028e-01,1.353470e-03,5.220599e+03,1.715480e-05,0
1.600025e-01,1.443825e-03,5.568773e+03,1.888674e-05,0
1.700022e-01,1.534180e-03,5.917111e+03,2.036306e-05,0
1.800020e-01,1.624535e-03,6.265461e+03,2.189403e-05,0
1.900017e-01,1.714890e-03,6.613844e+03,2.366849e-05,0
2.000014e-01,1.805245e-03,6.962153e+03,2.544152e-05,0
2.100011e-01,1.895600e-03,7.310428e+03,2.738811e-05,0
2.200008e-01,1.985955e-03,7.658675e+03,2.951806e-05,0
2.300006e-01,2.076310e-03,8.006920e+03,3.185199e-05,0
2.400003e-01,2.166665e-03,8.355162e+03,3.441486e-05,0
2.500000e-01,2.256850e-03,8.703437e+03,3.716159e-05,0
2.600032e-01,2.346903e-03,9.052451e+03,3.985693e-05,0
2.700029e-01,2.436924e-03,9.401437e+03,4.285603e-05,0
2.800027e-01,2.526946e-03,9.750456e+03,4.616955e-05,0
2.900024e-01,2.616968e-03,1.009938e+04,4.979624e-05,0
3.000021e-01,2.706989e-03,1.044832e+04,5.373590e-05,0
3.100018e-01,2.797011e-03,1.079714e+04,5.798848e-05,0
3.200015e-01,2.887032e-03,1.114592e+04,6.255418e-05,0
3.300013e-01,2.977054e-03,1.149457e+04,6.743256e-05,0
3.400010e-01,3.067076e-03,1.184370e+04,7.260608e-05,0
3.500007e-01,3.157097e-03,1.219318e+04,7.818890e-05,0
3.600004e-01,3.247118e-03,1.254265e+04,8.523081e-05,0
3.700002e-01,3.337140e-03,1.289209e+04,9.336518e-05,0
3.800034e-01,3.427194e-03,1.324154e+04,1.023506e-04,0
3.900031e-01,3.517216e-03,1.359053e+04,1.116483e-04,0
4.000028e-01,3.607237e-03,1.393938e+04,1.212508e-04,0
4.100025e-01,3.697259e-03,1.428791e+04,1.311731e-04,0
4.200023e-01,3.787281e-03,1.463702e+04,1.414869e-04,0
4.300020e-01,3.877303e-03,1.498684e+04,1.519890e-04,0
4.400017e-01,3.967324e-03,1.533637e+04,1.627941e-04,0
4.500014e-01,4.057346e-03,1.568572e+04,1.749333e-04,0
4.600011e-01,4.147368e-03,1.603545e+04,1.936067e-04,0
4.700008e-01,4.237389e-03,1.638573e+04,2.135276e-04,0
4.800006e-01,4.327411e-03,1.673560e+04,2.353411e-04,0
4.900003e-01,4.417467e-03,1.708501e+04,2.607702e-04,0
