Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.748409e+01,0.000000e+00,0
1.000278e-02,6.424047e-05,4.083747e+02,2.068512e-06,0
2.000257e-02,1.284620e-04,8.328986e+02,4.057094e-06,0
3.000236e-02,1.926835e-04,1.257808e+03,6.021252e-06,0
4.000215e-02,2.569050e-04,1.682826e+03,8.004527e-06,0
5.000194e-02,3.210893e-04,2.107885e+03,1.007179e-05,0
6.000173e-02,3.852620e-04,2.532899e+03,1.230058e-05,0
7.000152e-02,4.494347e-04,2.958036e+03,1.465628e-05,0
8.000131e-02,5.136074e-04,3.383269e+03,1.709114e-05,0
9.000111e-02,5.777802e-04,3.808924e+03,1.965940e-05,0
1.000009e-01,6.419530e-04,4.234311e+03,2.226543e-05,0
1.100007e-01,7.061257e-04,4.659813e+03,2.509616e-05,0
1.200005e-01,7.702985e-04,5.085566e+03,2.805322e-05,0
1.300003e-01,8.344712e-04,5.511104e+03,3.116142e-05,0
1.400001e-01,8.986439e-04,5.936845e+03,3.444464e-05,0
1.500028e-01,9.628357e-04,6.362761e+03,3.794946e-05,0
1.600026e-01,1.027009e-03,6.788667e+03,4.165764e-05,0
1.700024e-01,1.091188e-03,7.214737e+03,4.557045e-05,0
1.800022e-01,1.155556e-03,7.640772e+03,4.975725e-05,0
1.900020e-01,1.219924e-03,8.066814e+03,5.415923e-05,0
2.000018e-01,1.284292e-03,8.492989e+03,5.886594e-05,0
2.100016e-01,1.348660e-03,8.919331e+03,6.391077e-05,0
2.200014e-01,1.413027e-03,9.345616e+03,6.925422e-05,0
2.300012e-01,1.477395e-03,9.771991e+03,7.499433e-05,0
2.400009e-01,1.541763e-03,1.019856e+04,8.111993e-05,0
2.500007e-01,1.606130e-03,1.062511e+04,8.762874e-05,0
2.600005e-01,1.670498e-03,1.105174e+04,9.470675e-05,0
2.700003e-01,1.734866e-03,1.147849e+04,1.022028e-04,0
2.800001e-01,1.799234e-03,1.190528e+04,1.105919e-04,0
2.900029e-01,1.863621e-03,1.233234e+04,1.194625e-04,0
3.000027e-01,1.927988e-03,1.275928e+04,1.290180e-04,0
3.100025e-01,1.992356e-03,1.318640e+04,1.395212e-04,0
3.200023e-01,2.056724e-03,1.361339e+04,1.508428e-04,0
3.300021e-01,2.121092e-03,1.404073e+04,1.634247e-04,0
3.400019e-01,2.185393e-03,1.446776e+04,1.778735e-04,0
3.500016e-01,2.249371e-03,1.489534e+04,1.931837e-04,0
3.600014e-01,2.313348e-03,1.532257e+04,2.108150e-04,0
3.700012e-01,2.377326e-03,1.575007e+04,2.302364e-04,0
3.800010e-01,2.441304e-03,1.617760e+04,2.521788e-04,0
3.900008e-01,2.505281e-03,1.660535e+04,2.770173e-04,0
4.000006e-01,2.569259e-03,1.703268e+04,3.186107e-04,0
4.100004e-01,2.633236e-03,1.745994e+04,3.663875e-04,0
4.200002e-01,2.697214e-03,1.788694e+04,4.229066e-04,0
4.300030e-01,2.761211e-03,1.831378e+04,4.891963e-04,0
4.400027e-01,2.825188e-03,1.873958e+04,5.831759e-04,0
4.500025e-01,2.889166e-03,1.916415e+04,7.003372e-04,0
4.600023e-01,2.953144e-03,1.958486e+04,8.982976e-04,0
4.700021e-01,3.017121e-03,1.999945e+04,1.181050e-03,0
4.800019e-01,3.081098e-03,2.039924e+04,1.620692e-03,0
4.900017e-01,3.145076e-03,2.076681e+04,2.302695e-03,0
5.000015e-01,3.209054e-03,2.109172e+04,3.148825e-03,0
5.100013e-01,3.273031e-03,2.139190e+04,3.962860e-03,0
5.200011e-01,3.337009e-03,2.167771e+04,4.709953e-03,0
5.300009e-01,3.400987e-03,2.195846e+04,5.378691e-03,0
5.400007e-01,3.464964e-03,2.223285e+04,6.000899e-03,0
5.500004e-01,3.528942e-03,2.250433e+04,6.577439e-03,0
5.600002e-01,3.592920e-03,2.277121e+04,7.124825e-03,0
