Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,2.514824e-01,0.000000e+00,0
1.000190e-02,1.674551e-04,1.063593e+03,9.219495e-07,0
2.000047e-02,3.348717e-04,2.127199e+03,1.880207e-06,0
3.000236e-02,5.023440e-04,3.191305e+03,2.881338e-06,0
4.000093e-02,6.696908e-04,4.255304e+03,3.928396e-06,0
5.000282e-02,8.370755e-04,5.319858e+03,5.003564e-06,0
6.000140e-02,1.004405e-03,6.384411e+03,6.126676e-06,0
7.000329e-02,1.171789e-03,7.449580e+03,7.334284e-06,0
8.000186e-02,1.339119e-03,8.514470e+03,8.562227e-06,0
9.000043e-02,1.506448e-03,9.579813e+03,9.803412e-06,0
1.000023e-01,1.673833e-03,1.064562e+04,1.113758e-05,0
1.100009e-01,1.841162e-03,1.171153e+04,1.280988e-05,0
1.200028e-01,2.008547e-03,1.277826e+04,1.420880e-05,0
1.300014e-01,2.175876e-03,1.384490e+04,1.556982e-05,0
1.400032e-01,2.343260e-03,1.491192e+04,1.700486e-05,0
1.500018e-01,2.510589e-03,1.597876e+04,1.851036e-05,0
1.600004e-01,2.677918e-03,1.704602e+04,2.020998e-05,0
1.700023e-01,2.845303e-03,1.811448e+04,2.181154e-05,0
1.800009e-01,3.012632e-03,1.918277e+04,2.352853e-05,0
1.900028e-01,3.180017e-03,2.025156e+04,2.530250e-05,0
2.000013e-01,3.347346e-03,2.132064e+04,2.665338e-05,0
2.100032e-01,3.514730e-03,2.239025e+04,2.805743e-05,0
2.200018e-01,3.682060e-03,2.345949e+04,2.957313e-05,0
2.300004e-01,3.849389e-03,2.452961e+04,3.123031e-05,0
2.400023e-01,4.016773e-03,2.560124e+04,3.326217e-05,0
2.500008e-01,4.184103e-03,2.667325e+04,3.602726e-05,0
2.600027e-01,4.351818e-03,2.774633e+04,3.952094e-05,0
2.700013e-01,4.519847e-03,2.881980e+04,4.287425e-05,0
2.800032e-01,4.687933e-03,2.989477e+04,4.549162e-05,0
2.900017e-01,4.855963e-03,3.097001e+04,4.882112e-05,0
3.000003e-01,5.023992e-03,3.204568e+04,5.238047e-05,0
3.100022e-01,5.192077e-03,3.312211e+04,5.601275e-05,0
3.200008e-01,5.360106e-03,3.419853e+04,5.978393e-05,0
3.300027e-01,5.528191e-03,3.527586e+04,6.376217e-05,0
3.400013e-01,5.696221e-03,3.635319e+04,6.799509e-05,0
3.500032e-01,5.864305e-03,3.743164e+04,7.184112e-05,0
3.600017e-01,6.032334e-03,3.851061e+04,7.453720e-05,0
3.700003e-01,6.200363e-03,3.959011e+04,7.719756e-05,0
3.800022e-01,6.368448e-03,4.067044e+04,7.997403e-05,0
3.900008e-01,6.536478e-03,4.175107e+04,8.372824e-05,0
4.000027e-01,6.704564e-03,4.283219e+04,8.971316e-05,0
4.100012e-01,6.872593e-03,4.391299e+04,9.842979e-05,0
4.200031e-01,7.040678e-03,4.499479e+04,1.077859e-04,0
4.300017e-01,7.208707e-03,4.607725e+04,1.173941e-04,0
4.400003e-01,7.376736e-03,4.716083e+04,1.264479e-04,0
4.500021e-01,7.544822e-03,4.824609e+04,1.355153e-04,0
4.600007e-01,7.712852e-03,4.933190e+04,1.449847e-04,0
4.700026e-01,7.880937e-03,5.041854e+04,1.611201e-04,0
4.800012e-01,8.048966e-03,5.150584e+04,1.818277e-04,0
4.900031e-01,8.217051e-03,5.259457e+04,2.024103e-04,0
5.000017e-01,8.385080e-03,5.368346e+04,2.222945e-04,0
5.100002e-01,8.553109e-03,5.477395e+04,2.429007e-04,0
5.200021e-01,8.721193e-03,5.586414e+04,2.695310e-04,0
5.300007e-01,8.889223e-03,5.695391e+04,3.004397e-04,0
5.400026e-01,9.057308e-03,5.804550e+04,3.607850e-04,0
5.500011e-01,9.225338e-03,5.913678e+04,4.333993e-04,0
5.600030e-01,9.393424e-03,6.022903e+04,5.174004e-04,0
5.700016e-01,9.561453e-03,6.132021e+04,6.745893e-04,0
5.800002e-01,9.729482e-03,6.240919e+04,9.228815e-04,0
5.900021e-01,9.897566e-03,6.348808e+04,1.429253e-03,0
6.000006e-01,1.006560e-02,6.452055e+04,2.588382e-03,0
6.100025e-01,1.023368e-02,6.531359e+04,5.528906e-03,0
6.200011e-01,1.040171e-02,6.555668e+04,9.940903e-03,0
6.300030e-01,1.056980e-02,6.601706e+04,1.224345e-02,0
6.400016e-01,1.073783e-02,6.639980e+04,1.440238e-02,0
6.500002e-01,1.090586e-02,6.676658e+04,1.631971e-02,0
6.600021e-01,1.107394e-02,6.712784e+04,1.805080e-02,0
6.700006e-01,1.124197e-02,6.748188e+04,1.964476e-02,0
6.800025e-01,1.141006e-02,6.782919e+04,2.113420e-02,0
6.900011e-01,1.157808e-02,6.816698e+04,2.254401e-02,0
7.000030e-01,1.174617e-02,6.849823e+04,2.388668e-02,0
7.100015e-01,1.191420e-02,6.882042e+04,2.517281e-02,0
7.200001e-01,1.208223e-02,6.913820e+04,2.640705e-02,0
7.300020e-01,1.225031e-02,6.944741e+04,2.760051e-02,0
7.400006e-01,1.241834e-02,6.975045e+04,2.875617e-02,0
7.500024e-01,1.258643e-02,7.004865e+04,2.987687e-02,0
