Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,-1.584987e+01,0.000000e+00,0
1.000299e-02,5.925503e-05,2.554445e+02,1.938135e-06,0
2.000229e-02,1.184823e-04,5.234966e+02,3.766605e-06,0
3.000159e-02,1.777225e-04,7.917814e+02,5.508590e-06,0
4.000089e-02,2.369681e-04,1.060300e+03,7.332689e-06,0
5.000018e-02,2.962138e-04,1.328883e+03,9.096681e-06,0
6.000318e-02,3.554813e-04,1.597622e+03,1.098998e-05,0
7.000247e-02,4.147269e-04,1.866245e+03,1.306775e-05,0
8.000177e-02,4.739725e-04,2.134751e+03,1.535370e-05,0
9.000107e-02,5.332181e-04,2.403434e+03,1.774030e-05,0
1.000004e-01,5.924638e-04,2.672054e+03,2.036011e-05,0
1.100034e-01,6.517313e-04,2.940850e+03,2.315869e-05,0
1.200027e-01,7.109768e-04,3.209486e+03,2.593544e-05,0
1.300020e-01,7.702224e-04,3.478279e+03,2.893661e-05,0
1.400013e-01,8.294681e-04,3.747049e+03,3.199149e-05,0
1.500006e-01,8.887138e-04,4.015987e+03,3.519377e-05,0
1.600035e-01,9.479814e-04,4.284904e+03,3.857776e-05,0
1.700028e-01,1.007227e-03,4.553755e+03,4.215389e-05,0
1.800021e-01,1.066473e-03,4.822691e+03,4.584416e-05,0
1.900014e-01,1.125718e-03,5.091624e+03,4.994695e-05,0
2.000007e-01,1.184964e-03,5.360571e+03,5.423278e-05,0
2.100000e-01,1.244209e-03,5.629527e+03,5.893435e-05,0
2.200030e-01,1.303477e-03,5.898760e+03,6.395758e-05,0
2.300023e-01,1.362722e-03,6.167878e+03,6.935668e-05,0
2.400016e-01,1.421968e-03,6.436972e+03,7.517664e-05,0
2.500009e-01,1.481213e-03,6.706131e+03,8.154343e-05,0
2.600002e-01,1.540459e-03,6.975275e+03,8.837973e-05,0
2.700032e-01,1.599726e-03,7.244534e+03,9.585763e-05,0
2.800025e-01,1.658972e-03,7.513817e+03,1.040469e-04,0
2.900018e-01,1.718218e-03,7.783136e+03,1.131055e-04,0
3.000011e-01,1.777463e-03,8.052448e+03,1.231439e-04,0
3.100004e-01,1.836709e-03,8.321891e+03,1.343459e-04,0
3.200034e-01,1.895977e-03,8.591249e+03,1.469149e-04,0
3.300027e-01,1.955222e-03,8.860648e+03,1.608653e-04,0
3.400020e-01,2.014468e-03,9.130156e+03,1.769045e-04,0
3.500013e-01,2.073714e-03,9.399547e+03,1.952040e-04,0
3.600006e-01,2.132959e-03,9.668926e+03,2.163720e-04,0
3.700036e-01,2.192226e-03,9.938580e+03,2.405727e-04,0
3.800029e-01,2.251472e-03,1.020797e+04,2.695805e-04,0
3.900022e-01,2.310717e-03,1.047746e+04,3.031665e-04,0
4.000015e-01,2.369963e-03,1.074692e+04,3.444328e-04,0
4.100008e-01,2.429208e-03,1.101605e+04,4.086703e-04,0
4.200001e-01,2.488454e-03,1.128494e+04,4.882366e-04,0
4.300030e-01,2.547721e-03,1.155347e+04,5.878289e-04,0
4.400024e-01,2.606967e-03,1.182106e+04,7.264293e-04,0
4.500017e-01,2.666212e-03,1.208629e+04,9.374521e-04,0
4.600010e-01,2.725458e-03,1.234708e+04,1.267704e-03,0
4.700003e-01,2.784703e-03,1.259764e+04,1.783435e-03,0
4.800032e-01,2.843970e-03,1.282488e+04,2.588816e-03,0
4.900025e-01,2.903216e-03,1.301824e+04,3.620437e-03,0
5.000018e-01,2.962462e-03,1.320221e+04,4.511786e-03,0
5.100011e-01,3.021708e-03,1.339813e+04,5.162574e-03,0
5.200005e-01,3.080954e-03,1.358567e+04,5.807564e-03,0
5.300034e-01,3.140221e-03,1.377465e+04,6.380185e-03,0
5.400027e-01,3.199466e-03,1.396006e+04,6.930871e-03,0
5.500020e-01,3.258712e-03,1.414720e+04,7.432764e-03,0
5.600013e-01,3.317957e-03,1.433328e+04,7.912661e-03,0
5.700006e-01,3.377203e-03,1.451849e+04,8.371111e-03,0
5.800036e-01,3.436470e-03,1.470377e+04,8.807926e-03,0
5.900029e-01,3.495716e-03,1.488811e+04,9.231530e-03,0
6.000022e-01,3.554961e-03,1.507138e+04,9.643137e-03,0
6.100015e-01,3.614207e-03,1.525404e+04,1.004493e-02,0
6.200008e-01,3.673452e-03,1.543473e+04,1.043852e-02,0
6.300001e-01,3.732698e-03,1.561441e+04,1.082426e-02,0
6.400031e-01,3.791966e-03,1.579357e+04,1.120039e-02,0
6.500024e-01,3.851211e-03,1.597329e+04,1.156439e-02,0
6.600017e-01,3.910457e-03,1.615165e+04,1.192344e-02,0
6.700010e-01,3.969702e-03,1.632914e+04,1.227722e-02,0
6.800003e-01,4.028948e-03,1.650562e+04,1.262535e-02,0
6.900033e-01,4.088215e-03,1.668104e+04,1.297118e-02,0
7.000026e-01,4.147461e-03,1.685544e+04,1.331264e-02,0
7.100019e-01,4.206706e-03,1.702902e+04,1.364977e-02,0
7.200012e-01,4.265951e-03,1.720173e+04,1.398235e-02,0
7.300005e-01,4.325197e-03,1.737382e+04,1.431147e-02,0
7.400035e-01,4.384463e-03,1.754487e+04,1.463830e-02,0
7.500027e-01,4.443709e-03,1.771465e+04,1.496187e-02,0
7.600021e-01,4.502954e-03,1.788366e+04,1.528432e-02,0
7.700014e-01,4.562199e-03,1.805186e+04,1.560361e-02,0
7.800006e-01,4.621444e-03,1.821868e+04,1.591987e-02,0
7.900037e-01,4.680711e-03,1.838418e+04,1.623503e-02,0
8.000029e-01,4.739956e-03,1.854880e+04,1.654799e-02,0
8.100023e-01,4.799202e-03,1.871275e+04,1.685761e-02,0
8.200015e-01,4.858448e-03,1.887603e+04,1.716518e-02,0
8.300008e-01,4.917693e-03,1.903800e+04,1.747276e-02,0
8.400002e-01,4.976939e-03,1.919966e+04,1.777624e-02,0
8.500031e-01,5.036206e-03,1.936112e+04,1.807541e-02,0
8.600024e-01,5.095451e-03,1.952153e+04,1.837347e-02,0
8.700017e-01,5.154697e-03,1.968192e+04,1.866785e-02,0
8.800010e-01,5.213942e-03,1.984126e+04,1.896030e-02,0
8.900003e-01,5.273187e-03,1.999983e+04,1.925274e-02,0
9.000033e-01,5.332455e-03,2.015798e+04,1.954065e-02,0
9.100026e-01,5.391700e-03,2.031520e+04,1.982806e-02,0
9.200019e-01,5.450946e-03,2.047148e+04,2.011546e-02,0
9.300012e-01,5.510191e-03,2.062605e+04,2.040286e-02,0
9.400005e-01,5.569437e-03,2.077975e+04,2.069027e-02,0
9.500035e-01,5.628704e-03,2.093282e+04,2.097778e-02,0
9.600028e-01,5.687950e-03,2.108576e+04,2.126288e-02,0
9.700021e-01,5.747195e-03,2.123678e+04,2.154524e-02,0
9.800014e-01,5.806440e-03,2.138681e+04,2.182760e-02,0
9.900007e-01,5.865687e-03,2.153632e+04,2.210996e-02,0
1.000000e+00,5.924932e-03,2.168493e+04,2.239233e-02,0
