Time [s],U2 [m],RF2 [N],U3 [m],n_buckled
0.000000e+00,0.000000e+00,8.422066e-01,0.000000e+00,0
1.000003e-02,6.520715e-05,2.850346e+02,1.533142e-06,0
2.000007e-02,1.304062e-04,5.713437e+02,3.079323e-06,0
3.000010e-02,1.956051e-04,8.575778e+02,4.719669e-06,0
4.000013e-02,2.608039e-04,1.143898e+03,6.416515e-06,0
5.000016e-02,3.260027e-04,1.430306e+03,8.249824e-06,0
6.000020e-02,3.912016e-04,1.716695e+03,1.013779e-05,0
7.000023e-02,4.564005e-04,2.003134e+03,1.213039e-05,0
8.000027e-02,5.215993e-04,2.289625e+03,1.421651e-05,0
9.000029e-02,5.868671e-04,2.576115e+03,1.643768e-05,0
1.000003e-01,6.521535e-04,2.862648e+03,1.874457e-05,0
1.100004e-01,7.174399e-04,3.149287e+03,2.120958e-05,0
1.200004e-01,7.827263e-04,3.435877e+03,2.373177e-05,0
1.300004e-01,8.480127e-04,3.722574e+03,2.638606e-05,0
1.400005e-01,9.132992e-04,4.009301e+03,2.912362e-05,0
1.500005e-01,9.785854e-04,4.296056e+03,3.207512e-05,0
1.600005e-01,1.043872e-03,4.582828e+03,3.528750e-05,0
1.700006e-01,1.109054e-03,4.869636e+03,3.874352e-05,0
1.800006e-01,1.174166e-03,5.156503e+03,4.219558e-05,0
1.900006e-01,1.239277e-03,5.443409e+03,4.587706e-05,0
2.000007e-01,1.304388e-03,5.730265e+03,4.972385e-05,0
2.100007e-01,1.369500e-03,6.017143e+03,5.384054e-05,0
2.200007e-01,1.434611e-03,6.303972e+03,5.839049e-05,0
2.300008e-01,1.499723e-03,6.590913e+03,6.320219e-05,0
2.400008e-01,1.564834e-03,6.878047e+03,6.793351e-05,0
2.500008e-01,1.629945e-03,7.165130e+03,7.317605e-05,0
2.600009e-01,1.695057e-03,7.452337e+03,7.915431e-05,0
2.700009e-01,1.760168e-03,7.739533e+03,8.596947e-05,0
2.800009e-01,1.825279e-03,8.026837e+03,9.303353e-05,0
2.900009e-01,1.890391e-03,8.314299e+03,1.006427e-04,0
3.000010e-01,1.955502e-03,8.601590e+03,1.089065e-04,0
3.100010e-01,2.020613e-03,8.888800e+03,1.177104e-04,0
3.200011e-01,2.085724e-03,9.176104e+03,1.283440e-04,0
3.300011e-01,2.150836e-03,9.463704e+03,1.391610e-04,0
3.400011e-01,2.215947e-03,9.751421e+03,1.504935e-04,0
3.500012e-01,2.281059e-03,1.003905e+04,1.641151e-04,0
3.600012e-01,2.346170e-03,1.032644e+04,1.782255e-04,0
3.700012e-01,2.411281e-03,1.061396e+04,1.941639e-04,0
3.800012e-01,2.476392e-03,1.090178e+04,2.108461e-04,0
3.900013e-01,2.541504e-03,1.118939e+04,2.308906e-04,0
4.000013e-01,2.606615e-03,1.147694e+04,2.519945e-04,0
4.100014e-01,2.671726e-03,1.176498e+04,2.740050e-04,0
4.200014e-01,2.736837e-03,1.205271e+04,3.129884e-04,0
4.300014e-01,2.801948e-03,1.234026e+04,3.596903e-04,0
4.400015e-01,2.867059e-03,1.262782e+04,4.138991e-04,0
4.500015e-01,2.932171e-03,1.291531e+04,4.816251e-04,0
4.600015e-01,2.997282e-03,1.320228e+04,5.836854e-04,0
4.700015e-01,3.062394e-03,1.348859e+04,7.165477e-04,0
4.800016e-01,3.127505e-03,1.377336e+04,9.153162e-04,0
4.900016e-01,3.192616e-03,1.405445e+04,1.223973e-03,0
5.000017e-01,3.257727e-03,1.432657e+04,1.738885e-03,0
5.100017e-01,3.322839e-03,1.457567e+04,2.617123e-03,0
5.200017e-01,3.387950e-03,1.477490e+04,3.974599e-03,0
5.300018e-01,3.453061e-03,1.492597e+04,5.460349e-03,0
5.400018e-01,3.518173e-03,1.509329e+04,6.497339e-03,0
5.500018e-01,3.583284e-03,1.525707e+04,7.421254e-03,0
5.600019e-01,3.648395e-03,1.541517e+04,8.283027e-03,0
5.700019e-01,3.713506e-03,1.557184e+04,9.074475e-03,0
5.800019e-01,3.778618e-03,1.572712e+04,9.815418e-03,0
5.900019e-01,3.843729e-03,1.587996e+04,1.051917e-02,0
6.000020e-01,3.908840e-03,1.603130e+04,1.118952e-02,0
6.100020e-01,3.973952e-03,1.618000e+04,1.183702e-02,0
6.200020e-01,4.039063e-03,1.632851e+04,1.245389e-02,0
6.300021e-01,4.104175e-03,1.647395e+04,1.305776e-02,0
6.400021e-01,4.169286e-03,1.661943e+04,1.363751e-02,0
6.500021e-01,4.234831e-03,1.676195e+04,1.420711e-02,0
6.600022e-01,4.300643e-03,1.690316e+04,1.476277e-02,0
6.700022e-01,4.366454e-03,1.704336e+04,1.530350e-02,0
6.800023e-01,4.432265e-03,1.718159e+04,1.583433e-02,0
6.900023e-01,4.498076e-03,1.731676e+04,1.635998e-02,0
7.000023e-01,4.563889e-03,1.745134e+04,1.687391e-02,0
7.100024e-01,4.629700e-03,1.758511e+04,1.737739e-02,0
7.200024e-01,4.695512e-03,1.771662e+04,1.787512e-02,0
7.300024e-01,4.761325e-03,1.784651e+04,1.836697e-02,0
7.400025e-01,4.827136e-03,1.797425e+04,1.885365e-02,0
7.500025e-01,4.892948e-03,1.810060e+04,1.933115e-02,0
