,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_height,rim_perturb,rim_profile,rim_radius,rim_shear_mod,rim_thick,rim_width,rim_young_mod,spk_T,spk_diameter,spk_eltype,spk_num,spk_offset,spk_paired,spk_young_mod,wheel_pickle
Klat_offset_-0.024,0.05,0.05,0.025,0.025,Klat_offset_-0.024,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.024,0.0,2e+11,Klat_offset_-0.024.pkl
Klat_offset_-0.022,0.05,0.05,0.025,0.025,Klat_offset_-0.022,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.022,0.0,2e+11,Klat_offset_-0.022.pkl
Klat_offset_-0.020,0.05,0.05,0.025,0.025,Klat_offset_-0.020,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.02,0.0,2e+11,Klat_offset_-0.020.pkl
Klat_offset_-0.018,0.05,0.05,0.025,0.025,Klat_offset_-0.018,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.018,0.0,2e+11,Klat_offset_-0.018.pkl
Klat_offset_-0.016,0.05,0.05,0.025,0.025,Klat_offset_-0.016,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.016,0.0,2e+11,Klat_offset_-0.016.pkl
Klat_offset_-0.014,0.05,0.05,0.025,0.025,Klat_offset_-0.014,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.014,0.0,2e+11,Klat_offset_-0.014.pkl
Klat_offset_-0.012,0.05,0.05,0.025,0.025,Klat_offset_-0.012,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.012,0.0,2e+11,Klat_offset_-0.012.pkl
Klat_offset_-0.010,0.05,0.05,0.025,0.025,Klat_offset_-0.010,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010.pkl
Klat_offset_-0.008,0.05,0.05,0.025,0.025,Klat_offset_-0.008,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.008,0.0,2e+11,Klat_offset_-0.008.pkl
Klat_offset_-0.006,0.05,0.05,0.025,0.025,Klat_offset_-0.006,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.006,0.0,2e+11,Klat_offset_-0.006.pkl
Klat_offset_-0.004,0.05,0.05,0.025,0.025,Klat_offset_-0.004,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.004,0.0,2e+11,Klat_offset_-0.004.pkl
Klat_offset_-0.002,0.05,0.05,0.025,0.025,Klat_offset_-0.002,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,-0.002,0.0,2e+11,Klat_offset_-0.002.pkl
Klat_offset_0.000,0.05,0.05,0.025,0.025,Klat_offset_0.000,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,2.08166817117e-17,0.0,2e+11,Klat_offset_0.000.pkl
Klat_offset_0.002,0.05,0.05,0.025,0.025,Klat_offset_0.002,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.002,0.0,2e+11,Klat_offset_0.002.pkl
Klat_offset_0.004,0.05,0.05,0.025,0.025,Klat_offset_0.004,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.004,0.0,2e+11,Klat_offset_0.004.pkl
Klat_offset_0.006,0.05,0.05,0.025,0.025,Klat_offset_0.006,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.006,0.0,2e+11,Klat_offset_0.006.pkl
Klat_offset_0.008,0.05,0.05,0.025,0.025,Klat_offset_0.008,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.008,0.0,2e+11,Klat_offset_0.008.pkl
Klat_offset_0.010,0.05,0.05,0.025,0.025,Klat_offset_0.010,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.01,0.0,2e+11,Klat_offset_0.010.pkl
Klat_offset_0.012,0.05,0.05,0.025,0.025,Klat_offset_0.012,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.012,0.0,2e+11,Klat_offset_0.012.pkl
Klat_offset_0.014,0.05,0.05,0.025,0.025,Klat_offset_0.014,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.014,0.0,2e+11,Klat_offset_0.014.pkl
Klat_offset_0.016,0.05,0.05,0.025,0.025,Klat_offset_0.016,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.016,0.0,2e+11,Klat_offset_0.016.pkl
Klat_offset_0.018,0.05,0.05,0.025,0.025,Klat_offset_0.018,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.018,0.0,2e+11,Klat_offset_0.018.pkl
Klat_offset_0.020,0.05,0.05,0.025,0.025,Klat_offset_0.020,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.02,0.0,2e+11,Klat_offset_0.020.pkl
Klat_offset_0.022,0.05,0.05,0.025,0.025,Klat_offset_0.022,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.022,0.0,2e+11,Klat_offset_0.022.pkl
Klat_offset_0.024,0.05,0.05,0.025,0.025,Klat_offset_0.024,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.002,beam,36.0,0.024,0.0,2e+11,Klat_offset_0.024.pkl
