,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_height,rim_perturb,rim_profile,rim_radius,rim_shear_mod,rim_thick,rim_width,rim_young_mod,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_offset,spk_paired,spk_young_mod,wheel_pickle
Klat_offset_-0.010_Tn_0.00,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.00,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.0,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.00.pkl
Klat_offset_-0.010_Tn_0.05,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.05,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,108.7928,0.05,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.05.pkl
Klat_offset_-0.010_Tn_0.10,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.10,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,217.5856,0.1,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.10.pkl
Klat_offset_-0.010_Tn_0.15,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.15,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,326.3784,0.15,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.15.pkl
Klat_offset_-0.010_Tn_0.20,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.20,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,435.1712,0.2,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.20.pkl
Klat_offset_-0.010_Tn_0.25,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.25,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,543.964,0.25,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.25.pkl
Klat_offset_-0.010_Tn_0.30,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.30,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,652.7568,0.3,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.30.pkl
Klat_offset_-0.010_Tn_0.35,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.35,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,761.5496,0.35,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.35.pkl
Klat_offset_-0.010_Tn_0.40,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.40,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,870.3424,0.4,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.40.pkl
Klat_offset_-0.010_Tn_0.45,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.45,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,979.1352,0.45,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.45.pkl
