,hub_diam1,hub_diam2,hub_width1,hub_width2,hybrid,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_height,rim_perturb,rim_profile,rim_radius,rim_shear_mod,rim_thick,rim_width,rim_young_mod,sim_temp_factor,spk_T,spk_diameter,spk_eltype,spk_num,spk_offset,spk_paired,spk_young_mod,wheel_pickle
Tc_offset_-0.020,0.05,0.05,0.025,0.025,0.0,Tc_offset_-0.020,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,-0.02,0.0,2e+11,Tc_offset_-0.020.pkl
Tc_offset_-0.020_hybrid,0.05,0.05,0.025,0.025,1.0,Tc_offset_-0.020_hybrid,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,-0.02,0.0,2e+11,Tc_offset_-0.020_hybrid.pkl
Tc_offset_-0.015,0.05,0.05,0.025,0.025,0.0,Tc_offset_-0.015,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,-0.015,0.0,2e+11,Tc_offset_-0.015.pkl
Tc_offset_-0.015_hybrid,0.05,0.05,0.025,0.025,1.0,Tc_offset_-0.015_hybrid,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,-0.015,0.0,2e+11,Tc_offset_-0.015_hybrid.pkl
Tc_offset_-0.010,0.05,0.05,0.025,0.025,0.0,Tc_offset_-0.010,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,-0.01,0.0,2e+11,Tc_offset_-0.010.pkl
Tc_offset_-0.010_hybrid,0.05,0.05,0.025,0.025,1.0,Tc_offset_-0.010_hybrid,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,-0.01,0.0,2e+11,Tc_offset_-0.010_hybrid.pkl
Tc_offset_-0.005,0.05,0.05,0.025,0.025,0.0,Tc_offset_-0.005,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,-0.005,0.0,2e+11,Tc_offset_-0.005.pkl
Tc_offset_-0.005_hybrid,0.05,0.05,0.025,0.025,1.0,Tc_offset_-0.005_hybrid,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,-0.005,0.0,2e+11,Tc_offset_-0.005_hybrid.pkl
Tc_offset_0.000,0.05,0.05,0.025,0.025,0.0,Tc_offset_0.000,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,3.46944695195e-18,0.0,2e+11,Tc_offset_0.000.pkl
Tc_offset_0.000_hybrid,0.05,0.05,0.025,0.025,1.0,Tc_offset_0.000_hybrid,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,"[0.0, 0.0002, 0.0002, 0.0002, 0.0002]",box,0.3,26000000000.0,0.001,0.08,69000000000.0,2.0,0.0,0.002,beam,36.0,3.46944695195e-18,0.0,2e+11,Tc_offset_0.000_hybrid.pkl
