Step,Time [s],Temperature,U3 [m],Tension [N],Compression [N]
0,0.000000e+00,0.000000e+00,3.616421e-02,0.000000e+00,0.000000e+00
0,1.500124e-02,-1.600132e-02,3.616421e-02,3.195497e+01,-1.823027e+02
0,3.000000e-02,-3.200000e-02,3.616421e-02,6.389742e+01,-3.647298e+02
0,4.500124e-02,-4.800132e-02,3.616421e-02,9.585004e+01,-5.470892e+02
0,6.000000e-02,-6.400000e-02,3.616421e-02,1.277965e+02,-7.294367e+02
0,7.500124e-02,-8.000132e-02,3.616421e-02,1.597483e+02,-9.118123e+02
0,9.000000e-02,-9.600001e-02,3.616421e-02,1.916946e+02,-1.094157e+03
0,1.050012e-01,-1.120013e-01,3.616421e-02,2.236464e+02,-1.276532e+03
0,1.200000e-01,-1.280000e-01,3.616421e-02,2.555930e+02,-1.458877e+03
0,1.350012e-01,-1.440013e-01,3.616421e-02,2.875443e+02,-1.641252e+03
0,1.500000e-01,-1.600000e-01,3.616421e-02,3.194907e+02,-1.823596e+03
0,1.650012e-01,-1.760013e-01,3.616421e-02,3.514420e+02,-2.005970e+03
0,1.800000e-01,-1.920000e-01,3.616421e-02,3.833886e+02,-2.188312e+03
0,1.950012e-01,-2.080013e-01,3.616421e-02,4.153395e+02,-2.370684e+03
0,2.100000e-01,-2.240000e-01,3.616421e-02,4.472857e+02,-2.553027e+03
0,2.250012e-01,-2.400013e-01,3.616421e-02,4.792369e+02,-2.735399e+03
0,2.400000e-01,-2.560000e-01,3.616421e-02,5.111833e+02,-2.917741e+03
0,2.550012e-01,-2.720013e-01,3.616421e-02,5.431341e+02,-3.100114e+03
0,2.700000e-01,-2.880000e-01,3.616421e-02,5.750808e+02,-3.282455e+03
0,2.850012e-01,-3.040013e-01,3.616421e-02,6.070314e+02,-3.464826e+03
0,3.000000e-01,-3.200000e-01,3.616421e-02,6.389774e+02,-3.647168e+03
0,3.150012e-01,-3.360014e-01,3.616421e-02,6.709295e+02,-3.829539e+03
