Step,Time [s],Strain Energy [J]
0,0.000000e+00,0.000000e+00
0,7.500374e-03,4.430998e-03
0,1.500075e-02,1.772372e-02
0,2.250112e-02,3.987786e-02
0,3.000150e-02,7.089406e-02
0,3.750187e-02,1.107706e-01
0,4.500224e-02,1.595123e-01
0,5.250021e-02,2.170887e-01
0,6.000058e-02,2.835352e-01
0,6.750096e-02,3.588411e-01
0,7.500133e-02,4.430057e-01
0,8.250170e-02,5.360277e-01
0,9.000207e-02,6.379077e-01
0,9.750003e-02,7.486087e-01
0,1.050004e-01,8.681996e-01
0,1.125008e-01,9.966493e-01
0,1.200012e-01,1.133955e+00
0,1.275015e-01,1.280119e+00
0,1.350019e-01,1.435139e+00
0,1.425023e-01,1.599013e+00
0,1.500002e-01,1.771685e+00
0,1.575006e-01,1.953270e+00
0,1.650010e-01,2.143710e+00
0,1.725014e-01,2.343004e+00
0,1.800017e-01,2.551155e+00
0,1.875021e-01,2.768159e+00
0,1.950001e-01,2.993944e+00
0,2.025004e-01,3.228647e+00
0,2.100008e-01,3.472204e+00
0,2.175012e-01,3.724622e+00
0,2.250016e-01,3.985891e+00
0,2.325019e-01,4.256012e+00
0,2.400023e-01,4.534986e+00
0,2.475003e-01,4.822723e+00
0,2.550007e-01,5.119401e+00
0,2.625010e-01,5.424932e+00
0,2.700014e-01,5.739313e+00
0,2.775018e-01,6.062546e+00
0,2.850021e-01,6.394617e+00
0,2.925001e-01,6.735423e+00
0,3.000005e-01,7.085200e+00
0,3.075009e-01,7.443838e+00
0,3.150012e-01,7.811321e+00
0,3.225016e-01,8.187652e+00
0,3.300020e-01,8.572832e+00
0,3.375024e-01,8.966860e+00
0,3.450003e-01,9.369610e+00
0,3.525007e-01,9.781341e+00
0,3.600011e-01,1.020192e+01
0,3.675014e-01,1.063135e+01
0,3.750018e-01,1.106962e+01
0,3.825022e-01,1.151674e+01
0,3.900001e-01,1.197256e+01
0,3.975005e-01,1.243736e+01
0,4.050009e-01,1.291099e+01
0,4.125013e-01,1.339346e+01
0,4.200017e-01,1.388479e+01
0,4.275020e-01,1.438498e+01
0,4.350024e-01,1.489404e+01
0,4.425004e-01,1.541176e+01
0,4.500007e-01,1.593849e+01
0,4.575011e-01,1.647406e+01
0,4.650015e-01,1.701847e+01
0,4.725018e-01,1.757174e+01
0,4.800022e-01,1.813384e+01
0,4.875002e-01,1.870462e+01
0,4.950006e-01,1.928443e+01
0,5.025010e-01,1.987307e+01
0,5.100013e-01,2.047056e+01
0,5.175017e-01,2.107689e+01
0,5.250021e-01,2.169207e+01
0,5.325000e-01,2.231589e+01
0,5.400004e-01,2.294873e+01
0,5.475008e-01,2.359044e+01
0,5.550011e-01,2.424098e+01
0,5.625015e-01,2.490031e+01
0,5.700019e-01,2.556846e+01
0,5.775023e-01,2.624545e+01
0,5.850002e-01,2.693106e+01
0,5.925006e-01,2.762574e+01
0,6.000010e-01,2.832931e+01
0,6.075013e-01,2.904173e+01
0,6.150017e-01,2.976301e+01
0,6.225021e-01,3.049310e+01
0,6.300001e-01,3.123181e+01
0,6.375004e-01,3.197956e+01
0,6.450008e-01,3.273615e+01
0,6.525012e-01,3.350157e+01
0,6.600016e-01,3.427587e+01
0,6.675019e-01,3.505898e+01
0,6.750023e-01,3.585091e+01
0,6.825002e-01,3.665141e+01
0,6.900007e-01,3.746108e+01
0,6.975010e-01,3.827959e+01
0,7.050014e-01,3.910689e+01
0,7.125018e-01,3.994304e+01
0,7.200021e-01,4.078804e+01
0,7.275001e-01,4.164159e+01
0,7.350005e-01,4.250425e+01
0,7.425008e-01,4.337575e+01
0,7.500012e-01,4.425608e+01
0,7.575016e-01,4.514523e+01
0,7.650020e-01,4.604319e+01
0,7.725024e-01,4.695002e+01
