Step,Time [s],Temperature,U3 [m],Tension [N],Compression [N]
0,0.000000e+00,0.000000e+00,-3.874275e-02,0.000000e+00,0.000000e+00
0,1.500079e-02,-1.600084e-02,-3.874275e-02,2.452001e+01,-1.400243e+02
0,3.000158e-02,-3.200168e-02,-3.874275e-02,4.904185e+01,-2.800283e+02
0,4.500236e-02,-4.800252e-02,-3.874275e-02,7.356246e+01,-4.200518e+02
0,6.000061e-02,-6.400066e-02,-3.874275e-02,9.807919e+01,-5.600458e+02
0,7.500140e-02,-8.000150e-02,-3.874275e-02,1.226001e+02,-7.000645e+02
0,9.000219e-02,-9.600233e-02,-3.874275e-02,1.471207e+02,-8.400829e+02
0,1.050004e-01,-1.120005e-01,-3.874275e-02,1.716378e+02,-9.800774e+02
0,1.200012e-01,-1.280013e-01,-3.874275e-02,1.961583e+02,-1.120096e+03
0,1.350020e-01,-1.440022e-01,-3.874275e-02,2.206791e+02,-1.260113e+03
0,1.500003e-01,-1.600003e-01,-3.874275e-02,2.451955e+02,-1.400107e+03
0,1.650010e-01,-1.760011e-01,-3.874275e-02,2.697167e+02,-1.540125e+03
0,1.800018e-01,-1.920020e-01,-3.874275e-02,2.942361e+02,-1.680142e+03
0,1.950001e-01,-2.080001e-01,-3.874275e-02,3.187535e+02,-1.820135e+03
0,2.100009e-01,-2.240009e-01,-3.874275e-02,3.432727e+02,-1.960152e+03
0,2.250017e-01,-2.400018e-01,-3.874275e-02,3.677950e+02,-2.100167e+03
0,2.400025e-01,-2.560026e-01,-3.874275e-02,3.923137e+02,-2.240182e+03
0,2.550007e-01,-2.720008e-01,-3.874275e-02,4.168309e+02,-2.380173e+03
0,2.700015e-01,-2.880016e-01,-3.874275e-02,4.413500e+02,-2.520188e+03
0,2.850023e-01,-3.040024e-01,-3.874275e-02,4.658712e+02,-2.660202e+03
0,3.000005e-01,-3.200006e-01,-3.874275e-02,4.903869e+02,-2.800193e+03
0,3.150013e-01,-3.360014e-01,-3.874275e-02,5.149082e+02,-2.940209e+03
0,3.300021e-01,-3.520023e-01,-3.874275e-02,5.394273e+02,-3.080223e+03
0,3.450004e-01,-3.680004e-01,-3.874275e-02,5.639443e+02,-3.220214e+03
0,3.600011e-01,-3.840012e-01,-3.874275e-02,5.884626e+02,-3.360227e+03
0,3.750019e-01,-4.000021e-01,-3.874275e-02,6.129843e+02,-3.500241e+03
0,3.900002e-01,-4.160002e-01,-3.874275e-02,6.374997e+02,-3.640232e+03
0,4.050010e-01,-4.320010e-01,-3.874275e-02,6.620191e+02,-3.780246e+03
0,4.200017e-01,-4.480019e-01,-3.874275e-02,6.865416e+02,-3.920259e+03
0,4.350000e-01,-4.640000e-01,-3.874275e-02,7.110561e+02,-4.060249e+03
0,4.500008e-01,-4.800009e-01,-3.874275e-02,7.355768e+02,-4.200264e+03
0,4.650016e-01,-4.960017e-01,-3.874275e-02,7.600972e+02,-4.340274e+03
0,4.800024e-01,-5.120025e-01,-3.874275e-02,7.846170e+02,-4.480291e+03
0,4.950006e-01,-5.280007e-01,-3.874275e-02,8.091328e+02,-4.620276e+03
0,5.100014e-01,-5.440015e-01,-3.874275e-02,8.336535e+02,-4.760291e+03
0,5.250022e-01,-5.600023e-01,-3.874275e-02,8.581724e+02,-4.900301e+03
0,5.400004e-01,-5.760005e-01,-3.874275e-02,8.826873e+02,-5.040291e+03
0,5.550012e-01,-5.920013e-01,-3.874275e-02,9.072083e+02,-5.180303e+03
0,5.700020e-01,-6.080021e-01,-3.874275e-02,9.317270e+02,-5.320312e+03
0,5.850003e-01,-6.240003e-01,-3.874275e-02,9.562436e+02,-5.460300e+03
0,6.000010e-01,-6.400011e-01,-3.874275e-02,9.807639e+02,-5.600312e+03
0,6.150019e-01,-6.560020e-01,-3.874275e-02,1.005283e+03,-5.740323e+03
0,6.300001e-01,-6.720001e-01,-3.874275e-02,1.029798e+03,-5.880308e+03
0,6.450009e-01,-6.880009e-01,-3.874275e-02,1.054318e+03,-6.020319e+03
0,6.600016e-01,-7.040017e-01,-3.874275e-02,1.078839e+03,-6.160328e+03
0,6.750025e-01,-7.200027e-01,-3.874275e-02,1.103359e+03,-6.300338e+03
0,6.900007e-01,-7.360008e-01,-3.874275e-02,1.127872e+03,-6.440324e+03
0,7.050015e-01,-7.520016e-01,-3.874275e-02,1.152391e+03,-6.580333e+03
0,7.200023e-01,-7.680025e-01,-3.874275e-02,1.176913e+03,-6.720342e+03
0,7.350005e-01,-7.840006e-01,-3.874275e-02,1.201429e+03,-6.860327e+03
0,7.500013e-01,-8.000014e-01,-3.874275e-02,1.225946e+03,-7.000336e+03
0,7.650021e-01,-8.160022e-01,-3.874275e-02,1.250465e+03,-7.140345e+03
0,7.800003e-01,-8.320003e-01,-3.874275e-02,1.274981e+03,-7.280328e+03
0,7.950011e-01,-8.480012e-01,-3.874275e-02,1.299501e+03,-7.420335e+03
0,8.100019e-01,-8.640020e-01,-3.874275e-02,1.324020e+03,-7.560344e+03
0,8.250002e-01,-8.800002e-01,-3.874275e-02,1.348536e+03,-7.700327e+03
0,8.400009e-01,-8.960010e-01,-3.874275e-02,1.373054e+03,-7.840334e+03
0,8.550017e-01,-9.120018e-01,-3.874275e-02,1.397573e+03,-7.980341e+03
0,8.700000e-01,-9.280000e-01,-3.874275e-02,1.422087e+03,-8.120324e+03
