Step,Time [s],Strain Energy [J]
0,0.000000e+00,0.000000e+00
0,7.501854e-03,2.232350e-03
0,1.500124e-02,8.926367e-03
0,2.250062e-02,2.008199e-02
0,3.000000e-02,3.569938e-02
0,3.750186e-02,5.578471e-02
0,4.500124e-02,8.032343e-02
0,5.250062e-02,1.093230e-01
0,6.000000e-02,1.427831e-01
0,6.750186e-02,1.807171e-01
0,7.500124e-02,2.230995e-01
0,8.250062e-02,2.699425e-01
0,9.000000e-02,3.212459e-01
0,9.750186e-02,3.770285e-01
0,1.050012e-01,4.372530e-01
0,1.125006e-01,5.019380e-01
0,1.200000e-01,5.710828e-01
0,1.275019e-01,6.447127e-01
0,1.350012e-01,7.227786e-01
0,1.425006e-01,8.053033e-01
0,1.500000e-01,8.922879e-01
0,1.575019e-01,9.837634e-01
0,1.650012e-01,1.079668e+00
0,1.725006e-01,1.180033e+00
0,1.800000e-01,1.284857e+00
0,1.875019e-01,1.394177e+00
0,1.950012e-01,1.507920e+00
0,2.025006e-01,1.626119e+00
0,2.100000e-01,1.748778e+00
0,2.175019e-01,1.875941e+00
0,2.250012e-01,2.007519e+00
0,2.325006e-01,2.143558e+00
0,2.400000e-01,2.284053e+00
0,2.475019e-01,2.429057e+00
0,2.550012e-01,2.578472e+00
0,2.625006e-01,2.732345e+00
0,2.700000e-01,2.890676e+00
0,2.775019e-01,3.053518e+00
0,2.850012e-01,3.220760e+00
0,2.925006e-01,3.392460e+00
0,3.000000e-01,3.568625e+00
0,3.075019e-01,3.749306e+00
0,3.150012e-01,3.934386e+00
0,3.225006e-01,4.123921e+00
0,3.300000e-01,4.317917e+00
0,3.375019e-01,4.516432e+00
0,3.450013e-01,4.719345e+00
0,3.525006e-01,4.926711e+00
0,3.600000e-01,5.138536e+00
0,3.675019e-01,5.354890e+00
0,3.750013e-01,5.575629e+00
0,3.825006e-01,5.800826e+00
0,3.900000e-01,6.030479e+00
0,3.975019e-01,6.264652e+00
0,4.050013e-01,6.503206e+00
0,4.125006e-01,6.746217e+00
0,4.200000e-01,6.993696e+00
0,4.275019e-01,7.245715e+00
0,4.350013e-01,7.502108e+00
0,4.425006e-01,7.762958e+00
0,4.500000e-01,8.028257e+00
0,4.575019e-01,8.298103e+00
0,4.650013e-01,8.572324e+00
0,4.725006e-01,8.850989e+00
0,4.800000e-01,9.134115e+00
0,4.875019e-01,9.421799e+00
0,4.950013e-01,9.713838e+00
0,5.025007e-01,1.001034e+01
0,5.100000e-01,1.031129e+01
0,5.175019e-01,1.061680e+01
0,5.250012e-01,1.092666e+01
0,5.325006e-01,1.124097e+01
0,5.400000e-01,1.155974e+01
0,5.475019e-01,1.188308e+01
0,5.550013e-01,1.221075e+01
0,5.625007e-01,1.254286e+01
0,5.700000e-01,1.287942e+01
0,5.775019e-01,1.322055e+01
0,5.850012e-01,1.356603e+01
0,5.925006e-01,1.391599e+01
0,6.000000e-01,1.427040e+01
0,6.075019e-01,1.462938e+01
0,6.150013e-01,1.499269e+01
0,6.225007e-01,1.536046e+01
0,6.300000e-01,1.573268e+01
0,6.375019e-01,1.610948e+01
0,6.450012e-01,1.649060e+01
0,6.525006e-01,1.687619e+01
0,6.600000e-01,1.726623e+01
0,6.675019e-01,1.766084e+01
0,6.750013e-01,1.805977e+01
0,6.825007e-01,1.846318e+01
0,6.900000e-01,1.887104e+01
0,6.975019e-01,1.928349e+01
0,7.050012e-01,1.970025e+01
0,7.125006e-01,2.012147e+01
0,7.200000e-01,2.054713e+01
0,7.275019e-01,2.097739e+01
0,7.350013e-01,2.141196e+01
0,7.425007e-01,2.185099e+01
0,7.500000e-01,2.229446e+01
0,7.575019e-01,2.274253e+01
0,7.650012e-01,2.319490e+01
0,7.725006e-01,2.365174e+01
0,7.800000e-01,2.411302e+01
0,7.875019e-01,2.457886e+01
0,7.950013e-01,2.504900e+01
0,8.025007e-01,2.552358e+01
0,8.100000e-01,2.600262e+01
0,8.175019e-01,2.648627e+01
0,8.250012e-01,2.697422e+01
0,8.325006e-01,2.746666e+01
0,8.400000e-01,2.796355e+01
0,8.475019e-01,2.846507e+01
0,8.550013e-01,2.897088e+01
0,8.625007e-01,2.948113e+01
0,8.700000e-01,2.999582e+01
0,8.775019e-01,3.051515e+01
0,8.850012e-01,3.103876e+01
0,8.925006e-01,3.156679e+01
0,9.000000e-01,3.209929e+01
0,9.075019e-01,3.263640e+01
0,9.150013e-01,3.317779e+01
0,9.225007e-01,3.372367e+01
0,9.300000e-01,3.427396e+01
