POINTNUM,TIME,POSIT,FORCE,EXT_RAD,EXT_LAT
1,5.171,-0.048124999,10.36373234,0.00046477,-0.01305118
2,5.27,-0.049674999,13.70213699,0.0036029,-0.01050095
3,5.67,-0.053424999,23.03866577,0.021199049,-0.02450911
4,6.47,-0.057300001,32.38436508,0.069792539,-0.039784629
5,7.17,-0.059999999,41.04220963,0.132235304,-0.05633267
6,7.37,-0.061175,49.56247711,0.151544482,-0.04646799
7,7.67,-0.062325001,58.11026382,0.169605404,-0.062384941
8,8.069,-0.063874997,69.73048401,0.195831403,-0.049013048
9,8.37,-0.065025002,78.91109467,0.213987768,-0.06333676
10,8.67,-0.066574998,91.09994507,0.23814863,-0.05124256
11,8.97,-0.067725003,100.1429901,0.254463673,-0.062384941
12,9.27,-0.068899997,108.5807114,0.270954996,-0.076067217
13,9.671,-0.07045,117.8530426,0.29498753,-0.073522158
14,10.069,-0.071975,126.9144211,0.320413351,-0.058562189
15,10.37,-0.073550001,136.6820068,0.34399727,-0.070340842
16,10.77,-0.075075001,146.3395386,0.367197305,-0.079569258
17,11.17,-0.076624997,156.3180695,0.392158329,-0.068432041
18,11.47,-0.078175001,165.6729431,0.416591495,-0.07320144
19,11.87,-0.079724997,174.9269409,0.437646061,-0.084664539
20,12.27,-0.081249997,185.0155182,0.463471949,-0.074158423
21,12.671,-0.0832,197.7363129,0.495541781,-0.085937068
22,13.069,-0.084749997,207.8982697,0.521399498,-0.070977099
23,13.47,-0.086274996,217.9043121,0.545768499,-0.076387927
24,13.87,-0.087825,228.2955627,0.571802497,-0.093256697
25,14.17,-0.089374997,238.365799,0.596939862,-0.081478052
26,14.569,-0.090925001,249.0688782,0.62238133,-0.077024199
27,14.97,-0.092474997,259.799469,0.64766264,-0.095165491
28,15.371,-0.094400004,273.0430298,0.676594853,-0.098346807
29,15.77,-0.09595,283.7644348,0.697072983,-0.112991244
30,16.069,-0.097099997,292.7249451,0.715581477,-0.107895948
31,16.37,-0.098249987,301.3919678,0.736091435,-0.099303797
32,16.67,-0.099799998,312.6269836,0.759740055,-0.115536302
33,16.97,-0.100974999,321.1380615,0.779593825,-0.107259691
34,17.27,-0.102124996,329.8509521,0.79768604,-0.120626412
35,17.569,-0.103299998,338.5638123,0.816386998,-0.140681669
36,17.87,-0.104449987,347.3500671,0.836513042,-0.145135522
37,18.17,-0.105999999,358.520874,0.859921217,-0.158186704
38,18.569,-0.107550003,369.3340149,0.8850106,-0.159138516
39,18.87,-0.1087,377.900116,0.902766347,-0.180781856
40,19.271,-0.110250004,388.7958069,0.927871883,-0.172825947
41,19.47,-0.111400001,397.3619385,0.945676148,-0.195741817
42,19.77,-0.112574987,406.1756897,0.964665055,-0.192876041
43,20.069,-0.113724999,414.9986267,0.983366013,-0.191287965
44,20.37,-0.1149,423.6472778,1.001330376,-0.205606505
45,20.569,-0.116049998,432.085022,1.02068758,-0.219614655
46,20.87,-0.117199987,441.3848572,1.042142749,-0.218657687
47,21.17,-0.118375003,449.8684692,1.062604785,-0.221523464
48,21.47,-0.119525,458.5171204,1.081545711,-0.238392219
49,21.77,-0.121074997,470.3849792,1.109229088,-0.245396301
50,22.069,-0.122249998,478.9694519,1.127769947,-0.273086727
51,22.37,-0.123400003,487.4621887,1.146790624,-0.285817176
52,22.67,-0.12455,496.422699,1.168806076,-0.282315165
53,22.97,-0.125725001,505.4932556,1.189780235,-0.297275126
54,23.171,-0.126874998,514.3803711,1.210946918,-0.324644834
55,23.471,-0.128024995,523.1574097,1.232769847,-0.319870263
56,23.77,-0.129174992,532.3013916,1.255746126,-0.320827246
57,24.069,-0.130349994,541.0325928,1.276496053,-0.331964463
58,24.371,-0.131499991,549.8371582,1.298911452,-0.340561777
59,24.569,-0.132674992,558.6234131,1.323456764,-0.327510595
60,24.87,-0.133824989,567.0152588,1.346224427,-0.340241075
61,25.271,-0.135374993,577.9017944,1.375764847,-0.335150957
62,25.67,-0.136924997,588.5039673,1.408106923,-0.357109845
63,25.97,-0.138475001,598.6567993,1.444339871,-0.363156945
64,26.37,-0.140000001,607.6723022,1.475865602,-0.351062745
65,26.87,-0.141949996,618.1644287,1.518711329,-0.371433556
66,27.27,-0.143875003,627.4367676,1.559074998,-0.381934494
67,27.77,-0.145799994,637.0117188,1.601504445,-0.395942658
68,28.27,-0.14774999,646.100647,1.642300606,-0.393713146
69,28.67,-0.149674997,654.8776855,1.685754418,-0.393392444
70,29.27,-0.151999995,664.7645264,1.737870455,-0.394670129
71,29.77,-0.154299989,673.9176636,1.79009819,-0.398803264
72,30.37,-0.156625003,682.5662842,1.854142308,-0.401669025
73,30.97,-0.158950001,691.1324463,1.904833317,-0.385757267
74,31.569,-0.161650002,700.5239868,1.964458227,-0.392119914
75,32.27,-0.164749995,711.0620117,2.040190697,-0.392440617
76,32.97,-0.167449996,719.8206787,2.097221851,-0.398167014
77,33.57,-0.170175001,728.8637695,2.156302929,-0.394985676
78,34.27,-0.172875002,737.5032349,2.216680527,-0.395942658
79,34.97,-0.175949991,746.7205811,2.28520751,-0.398487717
80,35.67,-0.178649992,755.1399536,2.384331942,-0.407400578
81,36.37,-0.18175,764.2930298,2.450729609,-0.384484738
82,37.17,-0.184849992,773.0976563,2.523916483,-0.405491799
83,37.87,-0.187924996,781.9938965,2.593340158,-0.384800255
84,38.67,-0.191024989,790.5141602,2.658649206,-0.397215188
85,39.37,-0.194124997,799.006958,2.725607157,-0.392119914
86,40.17,-0.197599992,808.1049805,2.833073378,-0.387029767
87,41.069,-0.201074988,816.9554443,2.908180952,-0.387666047
88,41.87,-0.204549998,825.897583,2.983416557,-0.382255197
89,42.67,-0.208024994,834.5829468,3.077289581,-0.365702003
90,43.569,-0.211524993,843.3875122,3.151580811,-0.365386456
91,44.37,-0.214999989,851.8161621,3.225744009,-0.362520665
92,45.27,-0.218474999,859.9695435,3.317983627,-0.349474669
93,46.17,-0.222350001,868.9300537,3.415858984,-0.340877354
94,47.07,-0.226224989,877.5786743,3.501358032,-0.322736055
95,48.069,-0.230474994,886.4749756,3.598688841,-0.333242178
96,49.069,-0.234324992,894.8485107,3.690304041,-0.305867285
97,49.87,-0.237799987,902.0114746,3.789892912,-0.296638846
98,50.87,-0.242049992,910.6509399,3.879602671,-0.244439319
99,51.87,-0.245924994,918.244873,3.97783041,-0.194790006
100,52.77,-0.249774992,925.0776367,4.073224068,-0.085300811
101,53.569,-0.253250003,931.2774658,4.165527821,-0.033737529
102,54.47,-0.256749988,937.4590454,4.263131142,0.050927009
103,55.569,-0.26137498,944.4476318,4.359741688,0.234574631
104,56.47,-0.265249997,949.6845703,4.457841396,0.430637181
105,57.47,-0.269499987,955.9395142,4.559911728,0.576724529
106,58.47,-0.27335,961.8000488,4.654905319,0.757511497
107,59.37,-0.277249992,967.4129639,4.748425484,0.873047829
108,60.17,-0.280699998,971.2007446,4.84849453,1.09361434
109,61.069,-0.284574986,975.8598633,4.940429688,1.252437234
110,61.97,-0.288049996,979.9228516,5.032157421,1.416991711
111,62.97,-0.292299986,985.3614502,5.128831863,1.562442899
112,63.87,-0.296175003,989.3786011,5.225618839,1.778555512
113,64.87,-0.30004999,993.3406372,5.323525906,1.962203145
114,65.77,-0.303900003,997.9263306,5.415189266,2.082514048
115,66.47,-0.306999981,1000.595215,5.507252693,2.294809103
116,67.67,-0.312024981,1005.125916,5.632026672,2.542114019
117,68.67,-0.315874994,1008.913696,5.727020264,2.749634504
118,69.37,-0.318975002,1009.647461,5.797548771,3.064730167
119,70.27,-0.322449982,1006.501648,5.89569664,3.621725321
120,70.77,-0.324774981,996.0737305,5.963070869,4.485860348
121,70.87,-0.325149983,984.9762573,5.978153229,5.107459545
122,71.77,-0.329025,983.9490356,6.080527782,5.70456028
123,72.77,-0.332899988,985.1138916,6.175217152,6.170838356
124,73.569,-0.336374998,981.5828247,6.26833725,6.793078899
125,74.569,-0.340624988,977.4557495,6.384705544,7.463380814
126,75.67,-0.345274985,976.3459473,6.489530087,8.07034111
127,76.569,-0.348749995,979.6568604,6.5838027,8.250492096
128,77.37,-0.352225006,981.3902588,6.676362514,8.477741241
129,78.37,-0.356474996,984.0040894,6.782147408,8.728869438
130,79.37,-0.360724986,986.1777344,6.88397789,9.013408661
131,80.37,-0.364600003,987.3516846,6.988529682,9.260398865
132,81.17,-0.368074983,988.0487671,7.091128826,9.541440964
133,82.27,-0.37272498,989.3418579,7.200932503,9.903640747
134,83.27,-0.376574993,991.4696655,7.294260502,10.10830116
135,84.069,-0.380050004,992.1942139,7.387188911,10.34860229
136,84.97,-0.383924991,993.1021729,7.485416412,10.59335709
137,86.07,-0.388549984,994.1293945,7.591313362,10.88745022
138,86.97,-0.392024994,994.2761841,7.695961475,11.15003109
139,87.87,-0.395899981,994.4870605,7.79169178,11.44953537
140,88.87,-0.400150001,994.4320068,7.913295269,11.72548866
141,89.97,-0.404399991,994.5420532,8.005262375,11.96101475
142,90.67,-0.407499999,995.8078003,8.103890419,12.1573925
143,91.77,-0.412124991,994.4962769,8.208666801,12.52819061
144,92.77,-0.416399986,995.4500732,8.302443504,12.74366665
145,93.57,-0.419474989,995.8994751,8.401568413,12.92636204
146,94.47,-0.423349977,996.284668,8.501461029,13.16188908
147,95.37,-0.42719999,995.6977539,8.609535217,13.41396809
148,96.37,-0.431074977,993.1113281,8.708291054,13.77744579
