T_PRE,T_POST,LAT_DEF
838.8,662.2,7.15
894.5,721,7.48
865.9,721,7.74
812.9,578.9,7.9
865.9,788.3,7.92
924.7,578.9,7.7
838.8,838.8,7.23
924.7,536,6.67
764.8,865.9,5.66
924.7,431.2,4.38
812.9,838.8,2.73
956.5,1409.3,1.4
812.9,84.1,0.44
894.5,376.1,0.34
788.3,95.5,1.37
924.7,1409.3,3.13
838.8,865.9,5.44
838.8,367.8,7.88
838.8,924.7,9.73
894.5,509.9,11
894.5,894.5,11.59
865.9,626.9,11.71
838.8,764.8,11.45
894.5,662.2,10.9
812.9,700.6,10.21
924.7,721,9.36
788.3,626.9,8.5
924.7,812.9,7.64
788.3,536,6.91
924.7,838.8,6.44
788.3,644.2,6.13
924.7,812.9,5.98
812.9,610.2,6.04
894.5,788.3,6.12
812.9,594.3,6.45
865.9,742.4,6.82
