Load	Displacement
(lb)	(in)
-0.696906714	0
-0.73685955	-0.0004
-0.711889028	-0.0013
-0.717715838	-0.0012
-0.732698152	-0.0003
-0.706062928	-0.0008
-0.722709943	-0.0005
-0.721045241	-0.0004
-0.712721734	-0.0006
-0.723541938	-0.0001
-0.72520664	-0.0008
-0.742686361	-0.0013
-0.747680465	-0.0003
-0.72520664	-0.0003
-0.730200744	-0.0003
-0.742686361	-0.0008
-0.724374644	-0.0006
-0.735194849	-0.0002
-0.713553729	-0.0001
-0.72520664	-0.0004
-0.73103345	-0.0006
-0.709392331	-0.0011
-0.721877237	-0.0002
-0.716051137	-0.0003
-0.740189664	-0.0009
-0.721045241	-0.0008
-0.710224326	-0.0007
-0.715218431	-0.001
-0.741853655	-0.0006
-0.721045241	-0.0003
-0.736027555	-0.0007
-0.741021659	-0.0008
-0.712721734	-0.0005
-0.73103345	-0.0007
-0.731865446	-0.0003
-0.745183058	-0.0005
-0.711889028	-0.0007
-0.733530147	-0.0003
-0.710224326	-0.0006
-0.728536043	-0.0004
-0.733530147	-0.0002
-0.710224326	-0.0006
-0.718547834	-0.0008
-0.72520664	-0.001
-0.742686361	-0.0007
-0.706894923	-0.0013
-0.728536043	-0.0006
-0.726039346	-0.0007
-0.716051137	-0.0003
-0.728536043	-0.0004
-0.699404122	-0.0003
-0.726871341	-0.0003
-0.707727629	-0.001
-0.701068113	-0.0013
-1.049825564	-0.0016
-1.326168144	-0.002
-1.688243207	-0.004
-2.012029425	-0.0039
-2.329156837	-0.0049
-2.731184736	-0.0059
-3.074115377	-0.0068
-3.363775569	-0.0082
-3.771629568	-0.008
-4.033821831	-0.0096
-4.374255774	-0.0096
-4.708030201	-0.0113
-5.019331513	-0.0121
-5.414700606	-0.0131
-5.7118516	-0.013
-6.057278938	-0.0143
-6.391054075	-0.0143
-6.741476228	-0.0155
-7.077748062	-0.0171
-7.403198982	-0.0173
-7.74862703	-0.018
-8.099881178	-0.0188
-8.487758759	-0.0205
-8.759106524	-0.0212
-9.192765173	-0.0215
-9.44996191	-0.0228
-9.829516694	-0.0231
-10.1341592	-0.0243
-10.45544872	-0.0248
-10.77923494	-0.0262
-11.10218987	-0.0268
-11.49256415	-0.0271
-11.85547121	-0.0278
-12.2483436	-0.0292
-12.77272742	-0.0312
-13.19389974	-0.032
-13.58177732	-0.0328
-13.93969099	-0.0331
-14.20021855	-0.0345
-14.51484855	-0.0346
-14.86943281	-0.0354
-15.18406353	-0.037
-15.62021745	-0.0377
-15.92902136	-0.0387
-16.23979903	-0.0397
-16.64099422	-0.0399
-17.06549524	-0.0423
-17.51496819	-0.0425
-17.82460481	-0.0427
-18.2124831	-0.0442
-18.49381907	-0.0449
-18.89667897	-0.0459
-19.16969214	-0.0472
-19.58254025	-0.0473
-19.88385264	-0.0486
-20.19348925	-0.049
-20.53641989	-0.0507
-20.87102773	-0.0503
-21.26390013	-0.0517
-21.5485648	-0.0522
-21.89482626	-0.0534
-22.23609149	-0.0536
-22.61897568	-0.0553
-22.88199922	-0.0557
-23.21660778	-0.0567
-23.57285461	-0.0571
-23.89081544	-0.0577
-24.22375716	-0.0585
-24.558365	-0.0599
-24.89297143	-0.0619
-25.55219748	-0.0629
-25.93175156	-0.0629
-26.26136529	-0.064
-26.5793247	-0.0647
-26.86898489	-0.0661
-27.1819502	-0.067
-27.52488084	-0.0684
-27.90943044	-0.0677
-28.17578268	-0.0696
-28.43214955	-0.0692
-28.45379067	-0.0702
-28.45545537	-0.0692
-28.40717974	-0.069
-28.41383712	-0.0689
-28.43214955	-0.0689
-28.39885481	-0.0693
-28.40551433	-0.0689
-28.42049593	-0.0694
-28.392196	-0.069
-28.41217313	-0.0694
-28.43381425	-0.069
-28.42216134	-0.0692
-28.41383712	-0.0692
-28.39552612	-0.0694
-28.40717974	-0.0694
-28.38553649	-0.0694
-28.37721369	-0.069
-28.44047377	-0.0694
-28.42882086	-0.0685
-28.38553649	-0.0689
-28.38886731	-0.0692
-28.39386071	-0.0694
-28.41383712	-0.0692
-28.41383712	-0.0687
-28.3872019	-0.0689
-28.41217313	-0.0694
-28.42549003	-0.0692
-28.41550182	-0.0689
-28.42549003	-0.0693
-28.41716724	-0.0689
-28.40717974	-0.069
-28.41050843	-0.0692
-28.38387321	-0.0692
-28.41550182	-0.0685
-28.39719011	-0.0693
-28.42216134	-0.0694
-28.43214955	-0.0694
-28.42549003	-0.0694
-28.392196	-0.0692
-28.392196	-0.0692
-28.38054238	-0.07
-28.39885481	-0.0688
-28.43714294	-0.0689
-28.40384891	-0.0694
-28.38054238	-0.0692
-28.41550182	-0.0692
-28.43214955	-0.0694
-28.40717974	-0.0694
-28.42382675	-0.069
-28.38886731	-0.0699
-28.40052022	-0.0693
-28.41217313	-0.0689
-28.392196	-0.0694
-28.39386071	-0.069
-28.35224388	-0.0692
-28.392196	-0.069
-28.38886731	-0.0691
-28.392196	-0.0693
-28.41217313	-0.0692
-28.43880836	-0.0694
-28.41217313	-0.0694
-28.41550182	-0.0699
-28.373885	-0.0694
-28.41550182	-0.0699
-28.40052022	-0.0694
-28.36556078	-0.0692
-28.39885481	-0.0694
-28.40384891	-0.0687
-28.41550182	-0.0694
-28.39885481	-0.0691
-28.39885481	-0.0689
-28.39885481	-0.0692
-28.38553649	-0.0701
-28.38553649	-0.0692
-28.41883052	-0.0701
-28.392196	-0.0699
-28.392196	-0.0694
-28.41550182	-0.069
-28.42549003	-0.0694
-28.40717974	-0.0689
-28.39552612	-0.0692
-28.37721369	-0.0692
-28.392196	-0.0689
-28.40551433	-0.0689
-28.41883052	-0.069
-28.42549003	-0.0692
-28.37721369	-0.0692
-28.3788791	-0.0692
-28.38886731	-0.069
-28.42382675	-0.07
-28.37721369	-0.0692
-28.39552612	-0.0699
-28.3872019	-0.0693
-28.39552612	-0.0689
-28.38054238	-0.069
-28.42549003	-0.0691
-28.38886731	-0.0692
-28.39885481	-0.0694
-28.3872019	-0.0694
-28.4021835	-0.069
-28.0792307	-0.068
-27.76126987	-0.0672
-27.44830457	-0.066
-27.0870615	-0.0664
-26.71250153	-0.0645
-26.34626436	-0.0637
-26.08490623	-0.0634
-25.7736042	-0.0619
-25.41569196	-0.0615
-25.0794187	-0.0611
-24.72982997	-0.0599
-24.35527071	-0.0589
-23.97238652	-0.0577
-23.6760661	-0.0565
-23.32314796	-0.0565
-23.0617877	-0.0555
-22.70387474	-0.0554
-22.34929119	-0.0537
-22.07627944	-0.0533
-21.65011301	-0.0528
-21.33881099	-0.0515
-21.040828	-0.05
-20.67292754	-0.05
-20.35829683	-0.0488
-19.98207216	-0.0478
-19.62082838	-0.0473
-19.32284539	-0.0467
-18.98490886	-0.0455
-18.66361933	-0.0453
-18.29072478	-0.0441
-17.98275145	-0.0432
-17.54992764	-0.0423
-17.31353718	-0.0413
