Load	Displacement
(lb)	(in)
-1.223957746	0
-1.264715578	-0.0007
-1.327933026	-0.001
-1.222294465	-0.001
-1.217303203	-0.0023
-1.29133304	-0.0005
-1.236434836	-0.0003
-1.253070483	-0.0026
-1.25722975	-0.0031
-1.149927909	-0.0015
-1.259725026	-0.0005
-1.250575207	0.0003
-1.283847212	-0.0006
-1.341241402	0.0008
-1.353718492	-0.0011
-1.527564343	0.0003
-1.889396415	-0.0033
-2.055755727	-0.0051
-2.339399405	-0.0017
-2.628032925	-0.0047
-2.817683138	-0.0046
-2.991528988	-0.0042
-3.222769029	-0.0057
-3.430718169	-0.005
-3.775914594	-0.0083
-3.962237535	-0.0105
-4.405585982	-0.0102
-4.463811457	-0.0116
-4.702538036	-0.0106
-5.041911914	-0.0102
-5.363817438	-0.0146
-5.582580388	-0.0136
-5.743949148	-0.0136
-6.038405926	-0.0146
-6.384433636	-0.0142
-6.708835147	-0.0153
-6.948393011	-0.0201
-7.304402536	-0.019
-7.831762635	-0.0188
-8.084629585	-0.0196
-8.423170756	-0.021
-8.734263892	-0.0211
-8.972157765	-0.0216
-9.182602891	-0.022
-9.630109895	-0.0245
-9.82475066	-0.0245
-10.09841252	-0.0259
-10.30719366	-0.0249
-10.58917335	-0.0274
-10.80211446	-0.0279
-11.12235599	-0.0274
-11.42845858	-0.0286
-11.7387183	-0.0277
-12.0639518	-0.0272
-12.27106966	-0.0297
-12.34676349	-0.0321
-12.91238614	-0.0321
-13.2650691	-0.0326
-13.4447375	-0.0346
-13.76082048	-0.0336
-14.06442637	-0.035
-14.16507437	-0.0366
-14.48448462	-0.0357
-14.99520836	-0.0392
-15.37783606	-0.0382
-15.54752336	-0.0387
-15.82950304	-0.0401
-16.06608249	-0.04
-16.56183458	-0.0407
-16.90952557	-0.0409
-17.16738307	-0.0456
-17.48346605	-0.0417
-17.68143408	-0.0446
-18.02247266	-0.0466
-18.252048	-0.0472
-18.91748596	-0.0471
-19.15538196	-0.0506
-19.32673112	-0.0482
-19.80418285	-0.0505
-20.02377922	-0.05
-20.70917939	-0.0516
-20.91047469	-0.0532
-21.25317655	-0.0536
-21.67572938	-0.055
-21.8404247	-0.0532
-22.15151854	-0.0541
-22.54246335	-0.056
-22.76871142	-0.0567
-23.33100751	-0.0595
-23.48239446	-0.0594
-23.70032684	-0.0577
-24.08128912	-0.0594
-24.29256766	-0.0592
-24.56706081	-0.0599
-24.86151759	-0.0621
-25.18758025	-0.0617
-25.67667921	-0.0635
-25.93620071	-0.0631
-26.26392736	-0.0671
-26.63823723	-0.0656
-26.82455946	-0.0671
-27.26208607	-0.0652
-27.47668975	-0.0672
-27.80275455	-0.0686
-28.03898585	-0.0687
-28.35673353	-0.0692
-28.6711518	-0.0696
-29.00719841	-0.0716
-29.3332632	-0.0721
-29.67596506	-0.072
-29.93382327	-0.0747
