SI Load [lb]	SI Stroke [in]
-1.0654	-1.4551
-1.1826	-1.4532
-2.2374	-1.4534
-1.0654	-1.455
-0.1278	-1.454
-3.8782	-1.4542
-2.1202	-1.4552
-2.4718	-1.454
-0.5966	-1.4535
-0.9482	-1.454
-0.9482	-1.4532
-4.347	-1.4552
-0.7138	-1.4526
-2.003	-1.454
-2.4718	-1.454
-3.4094	-1.4547
-0.1278	-1.4557
-0.7138	-1.455
-1.0654	-1.4566
-1.6514	-1.4552
-0.3622	-1.4542
-1.0654	-1.4564
-1.1826	-1.4546
-1.7686	-1.456
-3.8782	-1.4571
-1.7686	-1.4559
-2.003	-1.4579
-0.7138	-1.4552
-0.7138	-1.4569
-0.831	-1.4569
-1.6514	-1.4581
-3.4094	-1.4575
-3.4094	-1.459
-2.2374	-1.4556
-1.7686	-1.4587
-1.7686	-1.4572
-3.4094	-1.4591
-3.4094	-1.4582
-3.8782	-1.4595
-3.9955	-1.4581
-3.8782	-1.46
-3.2922	-1.46
-2.589	-1.4584
-0.7138	-1.4591
-1.1826	-1.4591
-4.347	-1.4607
-2.589	-1.461
-0.7138	-1.4609
-4.347	-1.4604
-4.347	-1.4609
-2.9406	-1.4615
-4.347	-1.4605
-3.2922	-1.4599
-5.2847	-1.4615
-3.2922	-1.462
-3.2922	-1.4616
-2.589	-1.461
-3.2922	-1.4612
-4.347	-1.462
-2.4718	-1.4629
-2.7062	-1.4625
-3.8782	-1.4634
-4.347	-1.4619
-4.347	-1.4632
-2.4718	-1.4621
-3.0578	-1.4636
-3.9955	-1.464
-6.1051	-1.4624
-4.347	-1.4635
-3.5266	-1.464
-6.6911	-1.4639
-4.2299	-1.4642
-6.2223	-1.4641
-5.7535	-1.4646
-8.0975	-1.4641
-2.9406	-1.4646
-4.347	-1.4662
-3.8782	-1.4662
-4.347	-1.4654
-4.347	-1.4655
-3.8782	-1.4646
-7.3943	-1.466
-4.347	-1.4672
-4.347	-1.466
-4.347	-1.4662
-4.347	-1.467
-5.9879	-1.4664
-6.1051	-1.468
-5.4019	-1.4659
-5.9879	-1.4657
-8.0975	-1.4675
-4.347	-1.4656
-6.6911	-1.467
-6.1051	-1.468
-5.8707	-1.468
-7.8631	-1.4685
-5.4019	-1.4695
-6.6911	-1.469
-7.3943	-1.4672
-6.4567	-1.4697
-5.9879	-1.4692
-4.347	-1.47
-5.2847	-1.4679
-5.7535	-1.471
-6.3395	-1.4691
-4.347	-1.471
-6.5739	-1.4691
-6.6911	-1.4705
-4.347	-1.471
-7.2771	-1.4704
-6.4567	-1.4691
-6.8083	-1.4691
-7.6287	-1.4705
-7.2771	-1.471
-7.3943	-1.4711
-8.0975	-1.4711
-7.0427	-1.4726
-6.5739	-1.4707
-6.3395	-1.473
-8.5664	-1.4711
-5.5191	-1.4727
-7.8631	-1.4712
-9.9728	-1.4722
-9.0352	-1.4722
-8.6836	-1.4722
-8.3319	-1.4736
-7.8631	-1.4721
-11.4965	-1.4726
-8.4492	-1.4724
-7.746	-1.4736
-9.6212	-1.4745
-6.4567	-1.4731
-8.0975	-1.474
-8.0975	-1.4734
-8.0975	-1.474
-7.6287	-1.4749
-8.5664	-1.4742
-10.9104	-1.4745
-7.6287	-1.4755
-9.2696	-1.476
-8.0975	-1.475
-8.6836	-1.475
-7.2771	-1.475
-9.7384	-1.4756
-7.746	-1.4771
-9.7384	-1.476
-6.3395	-1.4775
-7.746	-1.4767
-8.918	-1.476
-9.0352	-1.4747
-8.2148	-1.4757
-9.8556	-1.4746
