Load	Displacement
(lb)	(in)
-2.43172888	0
-2.421747066	0.0005
-2.41925179	0.0006
-2.448364527	0.0005
-2.450028518	1E-04
-2.434224156	0.0006
-2.435055441	0.001
-2.445037966	0.0003
-2.436719432	0.0004
-2.444205971	0.0005
-2.421747066	0.0003
-2.432560165	0.0003
-2.420083785	0.0005
-2.422579061	0.0004
-2.425074337	0.0002
-2.441709984	0.0006
-2.413429242	0.0005
-2.435887437	0.0004
-2.437551428	0.0004
-2.441709984	0.0004
-2.438383423	0.0006
-2.436719432	0.0005
-2.440046704	0.0004
-2.429233604	0.001
-2.437551428	0.0005
-2.429233604	0.0004
-2.435055441	0.0006
-2.425074337	0.0004
-2.430896885	0.0007
-2.444205971	1E-04
-2.430896885	0.0004
-2.420915781	0.0004
-2.422579061	0.0003
-2.425074337	0.0008
-2.434224156	0.0006
-2.451691799	0.0005
-2.425074337	0.0009
-2.444205971	0.0005
-2.426738328	-1E-04
-2.425074337	0.001
-2.433392161	0.0006
-2.441709984	0.0004
-2.477477265	1E-04
-2.578125274	-0.0007
-2.696240925	-0.0013
-2.835982776	-0.0023
-2.922489703	-0.0021
-3.048091183	-0.0035
-3.199478839	-0.004
-3.302621413	-0.0046
-3.423232341	-0.005
-3.556319648	-0.006
-3.691071657	-0.0069
-3.776746589	-0.0073
-3.92896553	-0.0085
-4.027949548	-0.0088
-4.151887037	-0.009
-4.270002688	-0.0097
-4.376473245	-0.0109
-4.498747453	-0.0115
-4.634330036	-0.0123
-4.735810041	-0.0129
-4.871392624	-0.0135
-5.012798466	-0.014
-5.088492294	-0.0148
-5.228234144	-0.0151
-5.353003628	-0.0161
-5.465296732	-0.0167
-5.585075664	-0.0173
-5.705685881	-0.0181
-5.810493157	-0.0185
-5.921953555	-0.0193
-6.079995754	-0.0201
-6.167334677	-0.0206
-6.272140532	-0.0211
-6.420201627	-0.0219
-6.521680211	-0.0231
-6.651440957	-0.0241
-6.774547161	-0.0236
-6.902643916	-0.0249
-7.010777753	-0.0252
-7.110593767	-0.0258
-7.252830893	-0.0267
-7.392572744	-0.0275
