(lb)	(in)
-2.012502618	0
-2.006680071	0.0005
-2.025811704	-0.0002
-2.024147713	0.0007
-2.011670623	0.0009
-1.99420298	0.0007
-1.999193532	0
-2.024147713	0.0005
-2.000857523	0.0005
-2.013334614	0.0003
-1.988380433	0.0003
-2.010007342	0.0008
-2.000025528	0.0008
-1.999193532	0.0003
-2.055755727	0
-2.14309465	-0.0003
-2.243741948	-0.0017
-2.371839414	-0.002
-2.471655428	-0.0029
-2.574798002	-0.0033
-2.712044577	-0.0041
-2.819346418	-0.0046
-2.950771156	-0.0057
-3.073876649	-0.0058
-3.194487576	-0.0068
-3.263526861	-0.0069
-3.38746506	-0.0076
-3.499757454	-0.0087
-3.604564019	-0.0093
-3.724342951	-0.0098
-3.839131331	-0.01
-3.947265168	-0.0116
-4.045417191	-0.0125
-4.15854158	-0.0127
-4.304937973	-0.013
-4.428044177	-0.0132
-4.539505285	-0.0146
-4.617694389	-0.0148
-4.764090783	-0.0151
-4.823980249	-0.0167
-4.951245719	-0.0169
-5.084333027	-0.0182
-5.200784687	-0.0184
-5.292282877	-0.0188
-5.403743986	-0.0191
-5.513541103	-0.0205
-5.639142583	-0.0212
-5.735630614	-0.0212
-5.869550628	-0.0229
-5.988497564	-0.0229
-6.109108492	-0.0235
-6.183970324	-0.0248
-6.359479455	-0.0249
-6.445987093	-0.0254
-6.553288935	-0.0273
-6.629814048	-0.0283
-6.761238075	-0.0283
-6.890166826	-0.0292
-6.96835593	-0.0295
-7.091462133	-0.0296
-7.189614156	-0.0301
-7.340169816	-0.0318
-7.430004015	-0.0321
-7.541465124	-0.0326
-7.661244056	-0.0335
-7.777695716	-0.0343
-7.886660838	-0.0346
-7.990636119	-0.036
-8.116237598	-0.0366
-8.171967797	-0.037
-8.31503763	-0.0369
-8.43148929	-0.0377
-8.543781684	-0.039
-8.640270426	-0.0385
-8.767535186	-0.0404
-8.878165009	-0.0406
-8.999607222	-0.0411
-9.121050145	-0.0417
-9.192584706	-0.042
-9.31735419	-0.0431
-9.416338208	-0.0437
-9.555248063	-0.0442
-9.66504518	-0.0446
-9.803124461	-0.0458
-9.893790655	-0.0469
-9.979464877	-0.0475
-10.10257179	-0.048
-10.22567799	-0.0488
-10.3479522	-0.0493
-10.46107659	-0.0503
-10.55507006	-0.0507
-10.67068972	-0.0513
-10.80960029	-0.0514
-10.90858431	-0.0525
-11.00340906	-0.0536
-11.12984253	-0.0541
-11.21967602	-0.0546
-11.31616547	-0.0551
-11.54158226	-0.0565
-11.68797936	-0.0577
-11.79112193	-0.0588
-11.91422814	-0.0593
-12.07476561	-0.0593
-12.2552653	-0.0603
-12.36173585	-0.0618
-12.45905659	-0.0613
-12.56968499	-0.0618
-12.68364209	-0.0633
-12.79260721	-0.0646
-12.91903997	-0.0643
-13.03133308	-0.0651
-13.15028072	-0.0658
-13.26174112	-0.0665
-13.33826695	-0.0666
-13.44057752	-0.0681
-13.54871207	-0.0686
-13.67597683	-0.0687
-13.81239141	-0.0701
-13.92468452	-0.0708
-14.02449982	-0.0718
-14.1392882	-0.0717
-14.25324458	-0.0723
-14.33808752	-0.0726
-14.47034354	-0.0746
-14.57265483	-0.0741
-14.68245266	-0.0749
-14.80056831	-0.0763
-14.88125269	-0.0763
-15.01018144	-0.0775
-15.11332402	-0.0783
-15.23476623	-0.0792
-15.35121789	-0.0787
-15.47432409	-0.0803
-15.56249501	-0.08
-15.68892778	-0.0818
-15.83865144	-0.0825
-15.88807737	-0.0818
-15.97791157	-0.0835
-16.14260831	-0.0845
-16.22911382	-0.0848
-16.3439022	-0.0858
-16.4670084	-0.0856
-16.55517932	-0.0877
-16.65166878	-0.0882
-16.77976553	-0.0877
-16.89289063	-0.0888
-17.01100557	-0.0899
-17.16072924	-0.09
-17.23059981	-0.0912
-17.36867909	-0.0907
-17.45685001	-0.0923
-17.55999187	-0.092
-17.68309807	-0.0938
-17.77459555	-0.0942
-17.8927112	-0.095
-18.00583559	-0.0947
-18.13559563	-0.0953
-18.22376655	-0.0972
-18.32524655	-0.0978
-18.45833386	-0.0978
-18.57312224	-0.0993
-18.65796589	-0.0993
-18.78107209	-0.0998
-18.89918703	-0.1012
-18.97571143	-0.1003
-19.13209106	-0.1011
-19.2152693	-0.1028
-19.3616664	-0.1029
-19.47479079	-0.1039
-19.68440392	-0.1058
-19.77922867	-0.1057
-19.88569994	-0.1067
-20.03875017	-0.1067
-20.10695745	-0.108
-20.25169057	-0.1081
-20.34984259	-0.1088
-20.44134149	-0.111
-20.61601792	-0.1111
-20.70086156	-0.1112
-20.80067687	-0.1123
-20.94041943	-0.1128
-21.00529944	-0.1137
-21.12674166	-0.1143
-21.22156854	-0.1145
-21.33968348	-0.1149
-21.44116206	-0.1149
-21.53266025	-0.1167
-21.6607563	-0.1165
-21.77554468	-0.1174
-21.88534251	-0.1184
-21.99846761	-0.1185
-22.11491927	-0.1212
-22.22804295	-0.1209
-22.32785967	-0.1215
-22.45595643	-0.1218
-22.57074481	-0.1233
-22.660579	-0.1237
-22.77703066	-0.1238
-22.89348233	-0.1254
-22.96168961	-0.1249
-23.11141328	-0.1265
-23.20623803	-0.1261
-23.33932676	-0.1273
-23.44579589	-0.1278
-23.53895665	-0.1287
-23.66871882	-0.1292
-23.76520685	-0.1301
-23.89163962	-0.1311
-23.99478361	-0.1309
-24.06631746	-0.1316
-24.21437785	-0.1334
-24.29256766	-0.1331
-24.43563536	-0.1351
